English	Context	Foreign	Transliteration	Tip	Sources	Debug
Holland	lexeme	هولَنْدا	huulandaa	-	Duo	-
Scotland	lexeme	إِسْكُتْلَنْدا	2iiskutlandaa	-	Duo	-
Canada	lexeme	كَنَدا	kanadaa	-	Duo	-
Canadian	lexeme	كَنَدِيّ	kanadii	-	Duo	-
sold	lexeme	باع	baa3	-	Duo	-
Farid	lexeme	فَريد	fariid	-	Duo	-
hey; oh; yay	lexeme	يا	iiaa	-	Duo	-
excuse me; you're welcome	lexeme	عَفْواً	3afwaaan	-	Duo	-
absolutely; totally	lexeme	تَماماً	tamaamaaan	-	Duo	-
Maha	lexeme	مَها	mahaa	-	Duo	-
hello	lexeme	أَهْلاً	2aahlaaan	-	Duo	-
thank you	lexeme	شُكْراً	shukraaan	-	Duo	-
where	lexeme	أَيْن	2aaiin	-	Duo	-
Australia	lexeme	أُسْتُرالْيا	2austuraaliiaa	-	Duo	-
France	lexeme	فَرَنْسا	faransaa	-	Duo	-
you; you are	lexeme	أَنْتَ	2aanta	-	Duo	-
Germany	lexeme	أَلْمانْيا	2aalmaaniiaa	-	Duo	-
you; you are	lexeme	أَنْتِ	2aanti	-	Duo	-
gentlemen	lexeme	سادة	saadt	-	Duo	-
screen; display	lexeme	شاشة	shaasht	-	Duo	-
biography	lexeme	سيرة	siirt	-	Duo	-
a woman; woman	lexeme	اِمْرَأة	aaimra2at	-	Duo	-
man; a man	lexeme	رَجُل	rajul	-	Duo	-
daughter; a girl	lexeme	بِنْت	bint	-	Duo	-
Arab; Arabic	lexeme	عَرَبِيّة	3arabiit	-	Duo	-
boy; a boy; child	lexeme	وَلَد	walad	-	Duo	-
smart; clever	lexeme	ذَكِيّة	dhakiit	-	Duo	-
American	lexeme	أَمْريكِيّة	2aamriikiit	-	Duo	-
amazing	lexeme	مُمْتازة	mumtaazt	-	Duo	-
professor; teacher; a professor	lexeme	أُسْتاذ	2austaadh	-	Duo	-
Rania; Rania is	lexeme	رانْيا	raaniiaa	-	Duo	-
Samia; Samia is	lexeme	سامْية	saamiit	-	Duo	-
doctor; a doctor	lexeme	دُكْتورة	duktuurt	-	Duo	-
Mike; Mike is	lexeme	مايْك	maaiik	-	Duo	-
a professor; professor; as a professor	lexeme	أُسْتاذة	2austaadht	-	Duo	-
good	lexeme	جَيِّدة	jaiiidt	-	Duo	-
Ali; Ali is	lexeme	عَلي	3alii	-	Duo	-
Bashir; Bashir is	lexeme	بَشير	bashiir	-	Duo	-
Tunisian	lexeme	تونِسِيّة	tuunisiit	-	Duo	-
Syrian	lexeme	سورِيّة	suuriit	-	Duo	-
a translator; translator; as a translator	lexeme	مُتَرْجِمة	mutarjimt	-	Duo	-
fast	lexeme	سَريعة	sarii3t	-	Duo	-
teacher; a teacher; as a teacher	lexeme	مُعَلِّمة	mu3alimt	-	Duo	-
weird	lexeme	غَريبة	ghariibt	-	Duo	-
very	lexeme	جِدّاً	jidaaan	-	Duo	-
teacher; professor; a teacher	lexeme	مُعَلِّم	mu3alim	-	Duo	-
hungry	lexeme	جَوْعان	jauu3aan	-	Duo	-
weird	lexeme	غَريب	ghariib	-	Duo	-
hungry	lexeme	جَوْعانة	jauu3aant	-	Duo	-
Dutch	lexeme	هولَنْدِيّ	huulandii	-	Duo	-
Amsterdam	lexeme	أَمْسْتِرْدام	2aamstirdaam	-	Duo	-
Paris	lexeme	باريس	baariis	-	Duo	-
French	lexeme	فَرَنْسِيّ	faransii	-	Duo	-
she	lexeme	هِيَّ	hiia	-	Duo	-
he	lexeme	هُوَّ	hwa	-	Duo	-
French	lexeme	فَرَنْسِيّة	faransiit	-	Duo	-
Lama; Lama is	lexeme	لَمى	lamaa/	-	Duo	-
is; do; does; are; would; did	lexeme	هَل	hal	-	Duo	-
engineer	lexeme	مُهَنْدِس	muhandis	-	Duo	-
Ghassan; Ghassan is	lexeme	غَسّان	ghasaan	-	Duo	-
engineer; an engineer; as an engineer	lexeme	مُهَنْدِسة	muhandist	-	Duo	-
Arwa; Arwa is	lexeme	أَرْوى	2aaruuaa/	-	Duo	-
new	lexeme	جَديدة	jadiidt	-	Duo	-
queen	lexeme	مَلِكة	malikt	-	Duo	-
city	lexeme	مَدينة	madiint	-	Duo	-
roomy; spacious; loose	lexeme	واسِعة	waasi3t	-	Duo	-
older; big; old	lexeme	كَبيرة	kabiirt	-	Duo	-
university	lexeme	جامِعة	jaami3t	-	Duo	-
room	lexeme	غُرْفة	ghurft	-	Duo	-
car	lexeme	سَيّارة	saiiaart	-	Duo	-
language; a language	lexeme	لُغة	lught	-	Duo	-
important	lexeme	مُهِمّة	muhimt	-	Duo	-
building; a building	lexeme	بِناية	binaaiit	-	Duo	-
easy	lexeme	سَهْل	sahl	-	Duo	-
easy; simple	lexeme	سَهْلة	sahlt	-	Duo	-
important	lexeme	مُهِمّ	muhim	-	Duo	-
sea	lexeme	بَحْر	baHr	-	Duo	-
Al-Azhar	lexeme	اَلْأَزْهَر	aaal2aazhar	-	Duo	-
New York	lexeme	نْيويورْك	niiwiiuurk	-	Duo	-
crowded	lexeme	مُزْدَحِمة	muzdaHimt	-	Duo	-
Islamic	lexeme	إِسْلامِيّة	2iislaamiit	-	Duo	-
famous; known	lexeme	مَشْهورة	mashhuurt	-	Duo	-
Berlin	lexeme	بَرْلين	barliin	-	Duo	-
Harvard	lexeme	هارْفارْد	haarfaard	-	Duo	-
Beirut	lexeme	بَيْروت	baiiruut	-	Duo	-
Moroccan	lexeme	مَغْرِبِيّ	maghribii	-	Duo	-
Jordanian	lexeme	أُرْدُنِيّ	2aurdunii	-	Duo	-
Moroccan	lexeme	مَغْرِبِيّة	maghribiit	-	Duo	-
with; into; me; at; on; about; to; of; during; in; fi	lexeme	في	fii	-	Duo	-
Jordanian	lexeme	أُرْدُنِيّة	2aurduniit	-	Duo	-
Reem	lexeme	ريم	riim	-	Duo	-
under	lexeme	تَحْت	taHt	-	Duo	-
the engineer	lexeme	اَلْمُهَنْدِسة	aaalmuhandist	-	Duo	-
the garage	lexeme	اَلْكَراج	aaalkaraaj	-	Duo	-
the translator	lexeme	اَلْمُتَرْجِم	aaalmutarjim	-	Duo	-
the home; the house; house	lexeme	اَلْبَيْت	aaalbaiit	-	Duo	-
the teacher	lexeme	اَلْمُعَلِّم	aaalmu3alim	-	Duo	-
the door	lexeme	اَلْباب	aaalbaab	-	Duo	-
the teacher	lexeme	اَلْمُعَلِّمة	aaalmu3alimt	-	Duo	-
long; tall	lexeme	طَويل	Tawiil	-	Duo	-
lawyer; a lawyer	lexeme	مُحامي	muHaamii	-	Duo	-
the university; university	lexeme	اَلْجامِعة	aaaljaami3t	-	Duo	-
the city	lexeme	اَلْمَدينة	aaalmadiint	-	Duo	-
the professor; professor; the gentleman	lexeme	اَلْأُسْتاذ	aaal2austaadh	-	Duo	-
the lawyer; attorney	lexeme	اَلْمُحامي	aaalmuHaamii	-	Duo	-
the neighbor	lexeme	اَلْجار	aaaljaar	-	Duo	-
son	lexeme	اِبْن	aaibn	-	Duo	-
sister	lexeme	أُخْت	2aukht	-	Duo	-
dog	lexeme	كَلْب	kalb	-	Duo	-
mother	lexeme	أُمّ	2aum	-	Duo	-
brother	lexeme	أَخ	2aakh	-	Duo	-
my son	lexeme	اِبْني	aaibnii	-	Duo	-
my dog	lexeme	كَلْبي	kalbii	-	Duo	-
my brother	lexeme	أَخي	2aakhii	-	Duo	-
my mother	lexeme	أُمّي	2aumii	-	Duo	-
my sister	lexeme	أُخْتي	2aukhtii	-	Duo	-
my father; my dad	lexeme	أَبي	2aabii	-	Duo	-
my daughter	lexeme	بِنْتي	bintii	-	Duo	-
kind	lexeme	طيب	Tiib	-	Duo	-
brick	lexeme	طوب	Tuub	-	Duo	-
laptop	lexeme	توب	tuub	-	Duo	-
tired	lexeme	تَعْبان	ta3baan	-	Duo	-
accountant	lexeme	مُحاسِب	muHaasib	-	Duo	-
my professor	lexeme	أُسْتاذي	2austaadhii	-	Duo	-
my house; my home	lexeme	بَيْتي	baiitii	-	Duo	-
my husband	lexeme	زَوْجي	zauujii	-	Duo	-
my neighbor	lexeme	جاري	jaarii	-	Duo	-
my teacher	lexeme	مُعَلِّمي	mu3alimii	-	Duo	-
your son	lexeme	اِبْنَك	aaibnak	-	Duo	-
your son	lexeme	اِبْنِك	aaibnik	-	Duo	-
your dog	lexeme	كَلْبَك	kalbak	-	Duo	-
your dog	lexeme	كَلْبِك	kalbik	-	Duo	-
your daughter	lexeme	بِنْتِك	bintik	-	Duo	-
your husband	lexeme	زَوْجِك	zauujik	-	Duo	-
your daughter	lexeme	بِنْتَك	bintak	-	Duo	-
your house	lexeme	بَيْتَك	baiitak	-	Duo	-
your garage	lexeme	كَراجَك	karaajak	-	Duo	-
your neighbor	lexeme	جارَك	jaarak	-	Duo	-
your jacket	lexeme	جاكيتَك	jaakiitak	-	Duo	-
your house	lexeme	بَيْتِك	baiitik	-	Duo	-
your garage	lexeme	كَراجِك	karaajik	-	Duo	-
your neighbor	lexeme	جارِك	jaarik	-	Duo	-
your name	lexeme	اِسْمَك	aaismak	-	Duo	-
your name	lexeme	اِسْمِك	aaismik	-	Duo	-
my name	lexeme	اِسْمي	aaismii	-	Duo	-
name	lexeme	اِسْم	aaism	-	Duo	-
what; not; what's; ma	lexeme	ما	maa	-	Duo	-
grandmother	lexeme	جَدّة	jadt	-	Duo	-
Mahmoud	lexeme	مَحْمود	maHmuud	-	Duo	-
my grandfather	lexeme	جَدّي	jadii	-	Duo	-
grandfather; a grandfather	lexeme	جَدّ	jad	-	Duo	-
my grandmother	lexeme	جَدَّتي	jadatii	-	Duo	-
my wife	lexeme	زَوْجَتي	zauujatii	-	Duo	-
wife	lexeme	زَوْجة	zauujt	-	Duo	-
kind; sweet; nice	lexeme	لَطيفة	laTiift	-	Duo	-
cat	lexeme	قِطّة	qiTt	-	Duo	-
Lebanese	lexeme	لُبْنانِيّة	lubnaaniit	-	Duo	-
your wife; your wife's	lexeme	زَوْجَتَك	zauujatak	-	Duo	-
your wife	lexeme	زَوْجَتِك	zauujatik	-	Duo	-
your grandmother	lexeme	جَدَّتَك	jadatak	-	Duo	-
your cat	lexeme	قِطَّتَك	qiTatak	-	Duo	-
your teacher	lexeme	مُعَلِّمَتِك	mu3alimatik	-	Duo	-
my neighbor	lexeme	جارَتي	jaaratii	-	Duo	-
your city	lexeme	مَدينَتَك	madiinatak	-	Duo	-
your city	lexeme	مَدينَتِك	madiinatik	-	Duo	-
neighbor	lexeme	جارة	jaart	-	Duo	-
Ibrahim	lexeme	إِبْراهيم	2iibraahiim	-	Duo	-
your teacher	lexeme	مُعَلِّمَتَك	mu3alimatak	-	Duo	-
onions	lexeme	بَصَل	baSal	-	Duo	-
scarf	lexeme	وِشاح	wishaaH	-	Duo	-
t-shirt	lexeme	تي شيرْت	tii shiirt	-	Duo	-
Seth has	lexeme	عِنْد سيث	3ind siith	-	Duo	-
skirt	lexeme	تَنّورة	tanuurt	-	Duo	-
you have; at your house	lexeme	عِنْدِك	3indik	-	Duo	-
you have; have; at your house	lexeme	عِنْدَك	3indak	-	Duo	-
I have had; I have; at my house	lexeme	عِنْدي	3indii	-	Duo	-
coat	lexeme	مِعْطَف	mi3Taf	-	Duo	-
blouse	lexeme	بَلوزة	baluuzt	-	Duo	-
I do not have	lexeme	لَيْسَ عِنْدي	laiisa 3indii	-	Duo	-
you do not have	lexeme	لَيْسَ عِنْدَك	laiisa 3indak	-	Duo	-
Seth does not have	lexeme	لَيْسَ عِنْد سيث	laiisa 3ind siith	-	Duo	-
Judy does not have	lexeme	لَيْسَ عِنْد جودي	laiisa 3ind juudii	-	Duo	-
you do not have	lexeme	لَيْسَ عِنْدِك	laiisa 3indik	-	Duo	-
blue	lexeme	أَزْرَق	2aazraq	-	Duo	-
white	lexeme	بَيْضاء	baiiDaa2	-	Duo	-
brown	lexeme	بُنِّيّة	buniit	-	Duo	-
white	lexeme	أَبْيَض	2aabiiaD	-	Duo	-
hat	lexeme	قُبَّعة	quba3t	-	Duo	-
brown	lexeme	بُنِّيّ	bunii	-	Duo	-
blue	lexeme	زَرْقاء	zarqaa2	-	Duo	-
spacious	lexeme	واسِع	waasi3	-	Duo	-
rent; renting	lexeme	إيجار	2iiijaar	-	Duo	-
expensive	lexeme	غالي	ghaalii	-	Duo	-
praise be to God	lexeme	اَلْحَمْدُ لِله	aaalHamdu lilh	-	Duo	-
kitchen	lexeme	مَطْبَخ	maTbakh	-	Duo	-
bathroom; a bathroom	lexeme	حَمّام	Hamaam	-	Duo	-
that; these; this; these ones	lexeme	هٰذا	haadhaa	-	Duo	-
table; a table	lexeme	طاوِلة	Taawilt	-	Duo	-
living room; salon	lexeme	صالون	Saaluun	-	Duo	-
old	lexeme	قَديم	qadiim	-	Duo	-
pretty; beautiful	lexeme	جَميلة	jamiilt	-	Duo	-
this; that; these; those; this one	lexeme	هٰذِهِ	haadhihi	-	Duo	-
garden	lexeme	حَديقة	Hadiiqt	-	Duo	-
Mohamed; Muhammad	lexeme	مُحَمَّد	muHamad	-	Duo	-
the room; room	lexeme	اَلْغُرْفة	aaalghurft	-	Duo	-
the wall	lexeme	اَلْحائِط	aaalHaai2iT	-	Duo	-
the dog	lexeme	اَلْكَلْب	aaalkalb	-	Duo	-
this wall	lexeme	هٰذا الْحائِط	haadhaa al-Haai2iT	-	Duo	-
this building	lexeme	هٰذِهِ الْبِناية	haadhihi al-binaaiit	-	Duo	-
this room	lexeme	هٰذِهِ الْغُرْفة	haadhihi al-ghurft	-	Duo	-
this dog	lexeme	هٰذا الْكَلْب	haadhaa al-kalb	-	Duo	-
my bag	lexeme	شَنْطَتي	shanTatii	-	Duo	-
small; younger; little	lexeme	صَغير	Saghiir	-	Duo	-
there; there is; there are	lexeme	هُناك	hunaak	-	Duo	-
wallet	lexeme	مَحْفَظة	maHfaẓt	-	Duo	-
book	lexeme	كِتاب	kitaab	-	Duo	-
bag; a bag	lexeme	شَنْطة	shanTt	-	Duo	-
short	lexeme	قَصير	qaSiir	-	Duo	-
cheap	lexeme	رَخيص	rakhiiS	-	Duo	-
pen; pencil	lexeme	قَلَم	qalam	-	Duo	-
notebook	lexeme	دَفْتَر	daftar	-	Duo	-
drink	lexeme	مَشْروب	mashruub	-	Duo	-
there is no; is not there; there are no	lexeme	لَيْسَ هُناك	laiisa hunaak	-	Duo	-
CD	lexeme	سي دي	sii dii	-	Duo	-
strawberries; berry	lexeme	توت	tuut	-	Duo	-
house; home	lexeme	بيت	biit	-	Duo	-
key	lexeme	مِفْتاح	miftaaH	-	Duo	-
phone; a phone	lexeme	هاتِف	haatif	-	Duo	-
cash; money	lexeme	نُقود	nuquud	-	Duo	-
heavy	lexeme	ثَقيل	thaqiil	-	Duo	-
chewing gum	lexeme	عِلْكة	3ilkt	-	Duo	-
pencil	lexeme	قَلَم رَصاص	qalam raSaaS	-	Duo	-
laptop	lexeme	لاب توب	laab tuub	-	Duo	-
joe; atmosphere	lexeme	جو	juu	-	Duo	-
office; an office	lexeme	مَكْتَب	maktab	-	Duo	-
the cat's chair	lexeme	كُرْسي الْقِطّة	kursii al-qiTt	-	Duo	-
computer; a computer	lexeme	حاسوب	Haasuub	-	Duo	-
the professor's pen	lexeme	قَلَم اَلْأُسْتاذة	qalam aaal2austaadht	-	Duo	-
the professor's office	lexeme	مَكْتَب اَلْأُسْتاذة	maktab aaal2austaadht	-	Duo	-
chair	lexeme	كُرْسي	kursii	-	Duo	-
the professor's computer	lexeme	حاسوب اَلْأُسْتاذة	Haasuub aaal2austaadht	-	Duo	-
number; phone number	lexeme	رَقَم	raqam	-	Duo	-
newspaper; a newspaper	lexeme	صَحيفة	SaHiift	-	Duo	-
phone number	lexeme	رَقَم هاتِف	raqam haatif	-	Duo	-
the engineer's room	lexeme	غُرْفة اَلْمُهَنْدِس	ghurft aaalmuhandis	-	Duo	-
the engineer's cat	lexeme	قِطّة اَلْمُهَنْدِس	qiTt aaalmuhandis	-	Duo	-
the office	lexeme	اَلْمَكْتَب	aaalmaktab	-	Duo	-
the newspaper	lexeme	اَلْصَّحيفة	aaalSaHiift	-	Duo	-
the professor's office	lexeme	مَكْتَب اَلْأُسْتاذ	maktab aaal2austaadh	-	Duo	-
the professor's newspaper	lexeme	صَحيفة اَلْأُسْتاذ	SaHiift aaal2austaadh	-	Duo	-
the cat's room	lexeme	غُرْفة اَلْقِطّة	ghurft aaalqiTt	-	Duo	-
the restaurant	lexeme	اَلْمَطْعَم	aaalmaT3am	-	Duo	-
good; kind; OK; good-hearted	lexeme	طَيِّب	Taiiib	-	Duo	-
the food; eating; to eat; food	lexeme	اَلْأَكْل	aaal2aakl	-	Duo	-
food	lexeme	أَكْل	2aakl	-	Duo	-
but	lexeme	لٰكِنّ	laakin	-	Duo	-
Mohamed's restaurant	lexeme	مَطْعَم مُحَمَّد	maT3am muHamad	-	Duo	-
restaurant	lexeme	مَطْعَم	maT3am	-	Duo	-
this milk	lexeme	هٰذا الْحَليب	haadhaa al-Haliib	-	Duo	-
milk	lexeme	حَليب	Haliib	-	Duo	-
banana; a banana	lexeme	موزة	muuzt	-	Duo	-
coffee	lexeme	قَهْوة	qahuut	-	Duo	-
water	lexeme	ماء	maa2	-	Duo	-
this banana	lexeme	هٰذِهِ الْموزة	haadhihi al-muuzt	-	Duo	-
rice	lexeme	رُزّ	ruz	-	Duo	-
Omar's rice	lexeme	رُزّ عُمَر	ruz 3umar	-	Duo	-
your rice	lexeme	رُزَّك	ruzak	-	Duo	-
Seth's coffee	lexeme	قَهْوَة سيث	qahwat siith	-	Duo	-
your coffee	lexeme	قَهْوَتِك	qahwatik	-	Duo	-
my coffee	lexeme	قَهْوَتي	qahwatii	-	Duo	-
your coffee	lexeme	قَهْوَتَك	qahwatak	-	Duo	-
work; job; the work of	lexeme	عَمَل	3amal	-	Duo	-
friend; a friend; friends	lexeme	صَديق	Sadiiq	-	Duo	-
her work	lexeme	عَمَلها	3amalhaa	-	Duo	-
his friend	lexeme	صَديقهُ	Sadiiqhu	-	Duo	-
her friend	lexeme	صَديقها	Sadiiqhaa	-	Duo	-
his work	lexeme	عَمَلهُ	3amalhu	-	Duo	-
friend; a friend; friends	lexeme	صَديقة	Sadiiqt	-	Duo	-
her neighbor	lexeme	جارَتها	jaarathaa	-	Duo	-
his friend	lexeme	صَديقَتهُ	Sadiiqathu	-	Duo	-
I know	lexeme	أَعْرِف	2aa3rif	-	Duo	-
I do not know	lexeme	لا أَعْرِف	laa 2aa3rif	-	Duo	-
his neighbor	lexeme	جارَتهُ	jaarathu	-	Duo	-
her friend	lexeme	صَديقَتها	Sadiiqathaa	-	Duo	-
light	lexeme	ضَوْء	Dauu2	-	Duo	-
his name	lexeme	اِسْمهُ	aaismhu	-	Duo	-
close to	lexeme	قَريب مِن	qariib min	-	Duo	-
difficult; hard	lexeme	صَعْب	Sa3b	-	Duo	-
her name	lexeme	اِسْمها	aaismhaa	-	Duo	-
his house	lexeme	بَيْتهُ	baiithu	-	Duo	-
her house	lexeme	بَيْتها	baiithaa	-	Duo	-
mu	lexeme	مو	muu	-	Duo	-
reading; to read	lexeme	اَلْقِراءة	aaalqiraa2t	-	Duo	-
writing; to write	lexeme	اَلْكِتابة	aaalkitaabt	-	Duo	-
running; to run	lexeme	اَلْجَري	aaaljarii	-	Duo	-
like; I love; I like; I would like; love	lexeme	أُحِبّ	2auHib	-	Duo	-
I do not like; I do not love; do not like	lexeme	لا أُحِبّ	laa 2auHib	-	Duo	-
too; also; else	lexeme	أَيْضاً	2aaiiDaaan	-	Duo	-
to sleep; sleeping; sleep	lexeme	اَلْنَّوْم	aaalnauum	-	Duo	-
photography	lexeme	اَلْتَّصْوير	aaaltaSwiir	-	Duo	-
swimming; to swim	lexeme	اَلْسِّباحة	aaalsibaaHt	-	Duo	-
much; a lot; very much	lexeme	كَثيراً	kathiiraaan	-	Duo	-
here	lexeme	هُنا	hunaa	-	Duo	-
in the morning; am; AM	lexeme	صَباحاً	SabaaHaaan	-	Duo	-
in the evening	lexeme	مَساءً	masaa2an	-	Duo	-
at night	lexeme	بِالْلَّيْل	biaallaiil	-	Duo	-
to speak; talking; to talk; speaking; speak	lexeme	اَلْكَلام	aaalkalaam	-	Duo	-
traveling to; to travel to	lexeme	اَلْسَّفَر إِلى	aaalsafar 2iilaa/	-	Duo	-
with	lexeme	مَعَ	ma3a	-	Duo	-
Italy	lexeme	إيطالْيا	2iiiTaaliiaa	-	Duo	-
about; for; of; from; on	lexeme	عَن	3an	-	Duo	-
in the afternoon; this afternoon	lexeme	بَعْد اَلْظُّهْر	ba3d aaalẓuhr	-	Duo	-
that; this	lexeme	ذٰلِك	dhaalik	-	Duo	-
if	lexeme	إذا	2idhaa	-	Duo	-
the rain	lexeme	اَلْمَطَر	aaalmaTar	-	Duo	-
the weather; weather	lexeme	اَلْطَّقْس	aaalTaqs	-	Duo	-
day; one day	lexeme	يَوْم	iiauum	-	Duo	-
light	lexeme	خَفيف	khafiif	-	Duo	-
spicy; hot	lexeme	حارّ	Haar	-	Duo	-
weather	lexeme	طَقْس	Taqs	-	Duo	-
rain	lexeme	مَطَر	maTar	-	Duo	-
sunny	lexeme	مُشْمِس	mushmis	-	Duo	-
humidity	lexeme	رُطوبة	ruTuubt	-	Duo	-
high; loud	lexeme	عالي	3aalii	-	Duo	-
rainy	lexeme	مُمْطِر	mumTir	-	Duo	-
today	lexeme	اَلْيَوْم	aaaliiauum	-	Duo	-
summer	lexeme	صَيْف	Saiif	-	Duo	-
winter	lexeme	شِتاء	shitaa2	-	Duo	-
I eat	lexeme	آكُل	aakul	-	Duo	-
the winter; winter	lexeme	اَلْشِّتاء	aaalshitaa2	-	Duo	-
the summer; summer	lexeme	اَلْصَّيْف	aaalSaiif	-	Duo	-
the moon; moon	lexeme	اَلْقَمَر	aaalqamar	-	Duo	-
now	lexeme	اَلآن	aaal2aan	-	Duo	-
the spring; spring	lexeme	اَلْرَّبيع	aaalrabii3	-	Duo	-
the fall	lexeme	اَلْخَريف	aaalkhariif	-	Duo	-
spring	lexeme	رَبيع	rabii3	-	Duo	-
rice	lexeme	اَلْرُّزّ	aaalruz	-	Duo	-
Yemen	lexeme	اَلْيَمَن	aaaliiaman	-	Duo	-
coast	lexeme	ساحِل	saaHil	-	Duo	-
