English	Context	Foreign	Transliteration	Tip	Sources	Debug
Small in size		小	xiǎo			
Big		大	dà			
An independent		独立屋	dú-lì-wū			
To rent		合租	hé-zū			
Street or Road		街道	jiē-dào			
General neighborhood		社区	shè-qū			
That		那	nà			
Neighbor		邻居	lín-jū			
Tenant		租客	zū-kè			
Landlord		房东	fáng-dōng			
To have or There is		有	yǒu			
Shopping mall		商场	shāng-chǎng			
Playground		操场	cāo-chǎng			
Early		早	zǎo			
To wake up		起床	qǐ-chuáng			
Early morning		早上	zǎo-shang			
Five		五	wǔ			
O clock		点	diǎn			
Breakfast		早餐	zǎo-cān			
To brush teeth		刷牙	shuā-yá			
To exercise		健身	jiàn-shēn			
To run		跑步	pǎo-bù			
To drink tea		喝茶	hē-chá			
Ten		十	shí			
Nine		九	jiǔ			
Eight		八	bā			
To request for leave		请假	qǐng-jià			
Meeting		会议	huì-yì			
Lunch break		午休	wǔ-xiū			
To be at work		上班	shàng-bān			
To rest		休息	xiū-xi			
To get off work		下班	xià-bān			
To work overtime		加班	jiā-bān			
To look		看	kàn			
To take a shower		洗澡	xǐ-zǎo			
Evening		晚上	wǎn-shang			
Board game		围棋	wéi-qí			
Kung Fu		功夫	gōng-fu			
Calligraphy		书法	shū fǎ			
Hobby		爱好	ai-hào			
To sing		唱歌	chàng-gē			
To dance		跳舞	tiào-wǔ			
To paint		画画	huà-huà			
To listen to music		听音乐	tīng-yīn-yuè			
To walk		散步	Sàn-bù			
Dinner		晚饭	Wǎn-fàn			
Spring rolls		春卷	chūnjuǎn			
Tofu		豆腐	dòufu			
Stir-fried vegetables		炒青菜	chǎo-qīngcài			
To like		喜欢	xǐhuan			
To chat or Casual conversation		聊天	liáo-tiān			
Meeting someone		跟	gēn			
To meet		见面	jiàn-miàn			
To hang out		去玩	qù-wán			
Are you busy?		你忙吗?	nǐ-máng-ma			
Long time		好久不见	hǎo-jiǔ-bù-jiàn			
Cold		冷	lěng			
Hot		热	rè			
Weather		天气	tiān-qì			
To rain		下雨	xià-yǔ			
Too		太	[tài			
Humid		潮湿	cháo-shī			
Sweating		流汗	liú-hàn			
To be windy		刮风 (guā fēng)	guā-fēng			
Book		书	shū			
To read		读	dú			
Swimming		游泳	yóu-yǒng			
To play		玩	wán			
To play soccer		踢足球	tī-zú-qiú			
Movie		电影	diàn-yǐng			
To play piano		弹钢琴	tán-gāng-qín			
Piano		钢琴	gāng-qín			
Yoga		瑜伽	yú-jiā			
Pilot		飞行员	fēi-xíng-yuán			
Dream		梦想	mèng-xiǎng			
Next		下一个	xià-yī-gè			
Goal		目标	mù-biāo			
Come true		成真	chéng-zhēn			
Successful		成功的	chénggōng-de			
To study		学习	xué-xí			
To take the bus		坐公交车	zuò-gōng-jiāo-chē			
Heading to work		去上班	qù-shàng-bān			
To carry		带	dài			
Document		文件	wén-jiàn			
Laptop		电脑	diàn-nǎo			
Work pressure		工作压力	gōng-zuò-yā-lì			
Stress		压力	yā-lì			
Clock out		打卡下班	dǎ-kǎ-xià-bān			
Clock in		打卡上班	dǎ-kǎ-shàng-bān			
Colleague		同事	tóng-shì			
Boss		老板	lǎo-bǎn			
Company		公司	gōng-sī			
Secretary		秘书	mìshū			
Manager		经理	jīnglǐ			
Occupation		职业	zhíyè			
Lounge or Rest-area		休息区	xiū-xí-qū			
Pantry or Break-room		茶水间	chá-shuǐ-jiān			
Front desk		前台	qián-tái			
To participate		参加	cā-njiā			
Meeting room		会议室	huì-yì-shì			
Interest		兴趣	xìng-qù			
Abroad		国外	guó-wài			
Experience		经验	jīng-yàn			
Education level		学历	xué-lì			
To promote		提拔	tí-bā			
Promotion		晋升	jìn-shēng			
Printer		打印机	dǎ-yìn-jī			
Cabinet		柜子	guì-zi			
Inbox		收件箱	shōu-jiàn-xiāng			
E-mail		电子邮件	diàn-zǐ-yóu-jiàn			
To look for		找	zhǎo			
Work-station		工位	gōng-wèi			
Free		空闲	kòng-xián			
Busy		忙碌	máng-lù			
Work status		工作状态	gōng-zuò-zhuàng-tài			
Winter		冬天	dōng-tiān			
Summer		夏天	xià-tiān			
Sweet soup		甜汤	tián-tāng			
Cold noodles		凉面	liáng-miàn			
Plum blossom		梅花	méi-huā			
Flower		花	huā			
Spring		春天	chūn-tiān			
Autumn leaves		秋叶	qiū-yè			
Autumn		秋天	qiū-tiān			
Summer camp		夏令营	xià-lìng-yíng			
Ice cream		冰淇淋	bīng-qí-lín			
To hike		远足	yuǎn-zú			
Ice		冰雪	bīng-xuě			
Skiing		滑雪	huá-xuě			
Picnic		野餐	yě-cān			
Kite flying		放风筝	fàng-fēng-zheng			
Spring outing		春游	chūn-yóu			
To visit		参观	cāng-uān			
Festival		中秋节	zhōng-qiū-jié			
Palace		宫殿	gōng-diàn			
Rainbow		彩虹	cǎi-hóng			
Star		星星	xīng-xīng			
Sky		天空	tiān-kōng			
Clouds		云	yún			
Desert		沙漠	shā-mò			
The sun		太阳	tài-yáng			
Sunrise		日出	rì-chū			
Dusk		黄昏	huáng-hūn			
Sunset		日落	rì-luò			
Burning hot		炎热	yán-rè			
Dry		干燥	gān-zào			
Pollution		污染	wū-rǎn			
Air		空气	kōng-qì			
Typhoon		台风	tái-fēng			
Storm		暴风雨	bào-fēng-yǔ			
Heavy rain		大雨	dà-yǔ			
Rainy season		雨季	yǔ-jì			
Sweater		毛衣	máo-yī			
To wear		穿	chuān			
Jeans		牛仔裤	niú-zǎi-kù			
Sandals		凉鞋	liáng-xié			
Slippers		拖鞋	tuō-xié			
Shoes		鞋	xié			
Wallet		钱包	qián-bāo			
Coat		外套	wài-tào			
Hat		帽子	mào-zi			
Long robe		长衫	cháng-shān			
Wedding dress		秀禾服	xiù-hé-fú			
Wedding		婚礼	hūn-lǐ			
Tie		领带	lǐng-dài			
Suit		西装	xī-zhuāng			
Shirt		衬衫	chèn-shān			
Socks		袜子	wà-zi			
Shorts		短裤	duǎn-kù			
Robe		长袍	cháng-páo			
Clothing		汉服	hàn-fú			
To be broken		坏	huài			
Wristwatch		手表	shǒu-biǎo			
Glasses		眼镜	yǎn-jìng			
Sunglasses		太阳镜	tài-yáng-jìng			
Necklace		项链	xiàng-liàn			
Ring		戒指	jiè-zhi			
Jewellery		首饰	shǒu-shì			
Drawer		抽屉	chōu-tì			
Dry		干	gān			
Clothes		衣服	yī-fú			
Wrinkled		皱的	zhòu de			
Iron		熨斗	yùn-dǒu			
To iron		熨	yùn			
Well-organized		整洁	zhěng-jié			
Clean		干净	gān-jìng			
To store		存放	cún-fàng			
Clothes hanger		衣架	yī-jià			
Wardrobe		衣柜	yī-guì			
Bag		包	bāo			
Rice cooker		电饭煲	diàn-fàn-bāo			
Washing machine		洗衣机	xǐ-yī-jī			
Electronics		电器	diàn-qì			
Soap		肥皂	féi-zào			
Shampoo		洗发水	xǐ-fà-shuǐ			
Toothbrush		牙刷	yá-shuā			
Toothpaste		牙膏	yá-gāo			
Scarf		围巾	wéi-jīn			
Gloves		手套	shǒu-tào			
Clothing store		服装店	fú-zhuāng-diàn			
Store		商店	shāng-diàn			
Red		红色	hóng-sè			
Black		黑色	hēi-sè			
White		白色	bái-sè			
Bluetooth earphones		蓝牙耳机	lán-yá-ěr-jī			
Sports shoes		运动鞋	yùn-dòng-xié			
Boutique		精品店	jīng-pǐn-diàn			
To sell		卖	mài			
To give		送	sòng			
To buy		买	mǎi			
Special offer		优惠	yōu-huì			
To plan		打算	dǎ-suàn			
To want		要	yào			
Cost		费用	fèi-yòng			
Price		价格	jià-gé			
Money		钱	qián			
China’s official currency, ¥		人民币	rén-mín-bì			
Affordable		实惠	shí-huì			
Cheaper		更便宜	gèng-pián-yí			
More value than price		超值	chāo-zhí			
Take care		保重	bǎo-zhòng			
See you next time		下次见	xià-cì-jiàn			
Thank you for your visit		谢谢光临	xiè-xiè-guān-glín			
Beach		海边	hǎi-biān			
Countryside		乡村	xiāng-cūn			
Next		下个	xià-gè			
Tourist attraction		景点	jǐng-diǎn			
Hong Kong		香港	xiāng-gǎng			
Week		星期	xīng-qī			
Usually		通常	tōng-cháng			
Party		聚会	jù-huì			
Sunday		星期日	xīng-qī-rì			
Arrangement		安排	ān-pái			
Invite		邀请	yāo-qǐng			
Plan		计划	jì-huà			
To suggest		建议	jiàn-yì			
Senior		学长	xué-zhǎng			
Junior		晚辈	wǎn-bèi			
To wait		等	děng			
To drink alcohol		喝酒	hē-jiǔ			
Alcohol		酒	jiǔ			
Club		俱乐部	jù-lè-bù			
Romantic		浪漫	làng-màn			
Date		约会	yuē-huì			
Boyfriend		男朋友	nán-péng-yǒu			
Gift		礼物	lǐ-wù			
To give		给	gěi			
To dress up		打扮	dǎ-ban			
Cafe		咖啡馆	kā-fēi-guǎn			
Blind date		相亲	xiāng-qīn			
Mood		心情	xīn-qíng			
Feeling of being nervous		紧张	jǐn-zhāng			
Excited		兴奋	xīng-fèn			
Balloon		气球	qì-qiú			
Birthday		生日	shēng-rì			
Party		派对	pài-duì			
Happy		开心	kāi-xīn			
Drinks		饮料	yǐn-liào			
Food		食物	shí-wù			
Crowded		拥挤	yōng-jǐ			
Boring		无聊	wú-liáo			
Lively		热闹	rè-nào			
Singer		歌手	gē-shǒu			
Stage		舞台	wǔ-tái			
Concert		音乐会	yīn-yuè-huì			
Horror movie		恐怖片	kǒng-bù-piàn			
TV drama		电视剧	diàn-shì-jù			
Difficult to look at		难看	nán-kàn			
Nice to watch		好看	hǎo-kàn			
Story		故事	gù-shì			
Novel		小说	xiǎo-shuō			
Depth		深度	shēn-dù			
Book review		书评	shū-píng			
Author		作者	zuò-zhě			
Important		重要	zhòng-yào			
Diet		饮食	yǐn-shí			
Vegetable		蔬菜	shū-cài			
Fruit		水果	shuǐ-guǒ			
To eat		吃	chī			
To lose weight		减肥	jiǎn-féi			
Vitamins		维生素	wéi-shēng-sù			
To relax		放松	fàng-sōng			
Meditation		冥想	míng-xiǎng			
Tablet		平板	píng-bǎn			
Charger		充电器	chōng-diàn-qì			
Camera		相机	xiàng-jī			
Music		音乐	yīnyuè			
To listen		听	tīng			
To use		用	yòng			
Earphones		耳机	ěr-jī			
Bluetooth		蓝牙	lán-yá			
Bluetooth earphones		蓝牙耳机	lán-yá-ěr-jī			
Side job		兼职	jiān-zhí			
A lot		很多	hěn-duō			
To make profit		赚	zhuàn			
To withdraw money		取款	qǔ-kuǎn			
ATM		自动取款机	zì-dòng-qǔ-kuǎn-jī			
Handsome		帅	shuài			
Beautiful woman		美女	měi-nǚ			
Cute		可爱	kě'-ài			
Coffee		咖啡	kā-fēi			
Habit		习惯	xí-guàn			
Roommate		室友	shì-yǒu			
To listen to stories		听故事	tīng-gù-shì			
Childhood		童年	tóng-nián			
Four		四	sì			
Zero		零	líng			
How much		多少	duō-shǎo			
Eleven		十一	shí-yī			
Thirty		三十	sān-shí			
A floor level		层	céng			
A building		楼	lóu			
Eighty Seven		八十七	bā-shí-qī			
Forty Five		四十五	sì-shí-wǔ			
Twenty One		二十一	èr-shí-yī			
Thousand		千	qiān			
Hundred		百	bǎi			
Thirty thousand		三万	sān-wàn			
Ten thousand		万	wàn			
How many		几	jǐ			
Now		现在	xiàn-zài			
What		什么	shén-me			
Time		时间	shí-jiān			
To end		结束	jié-shù			
To start		开始	kāi-shǐ			
Night		晚上	wǎn-shàng			
Afternoon		下午	xià-wǔ			
Morning		早上	zǎo-shang			
Quarter (15 minutes)		刻	kè			
Half		半	bàn			
Hour		小时	xiǎo-shí			
January		一月	yī-yuè			
December		十二月	shí-èr-yuè			
November		十一月	shí-yī-yuè			
August		八月	bā-yuè			
July		七月	qī-yuè			
June		六月	liù-yuè			
May		五月	wǔ-yuè			
April		四月	sì-yuè			
March		三月	sān-yuè			
October		十月	shí-yuè			
September		九月	jiǔ-yuè			
How old		多大	duō-dà			
Age		岁	suì			
A person’s age		年龄	nián-líng			
Second		秒	miǎo			
Minute		分钟	fēn-zhōng			
Longevity peach		寿桃	shòu-táo			
Longevity noodles		长寿面	cháng-shòu-miàn			
To celebrate		庆祝	qìng-zhù			
To make a wish		许愿	xǔ-yuan			
To blow out candles		吹蜡烛	chuī-là-zhú			
Candles		蜡烛	là-zhú			
To blow		吹	chuī			
Cake		蛋糕	dàn-gāo			
Blessing		福气	fú-qì			
To give as a gift		赠送	zèng-sòng			
Health		健康	jiàn-kāng			
To wish		祝	zhù			
Happy birthday		生日快乐	shēng-rì-kuài-lè			
Happy		快乐	kuài-lè			
Buddha’s Birthday		佛诞	fó-dàn			
Temple		寺庙	sì-miào			
Buddhism		佛教	fó-jiào			
Sweet rice dumplings		汤圆	tāng-yuán			
Lotus seed soup		莲子汤	lián-zǐ-tāng			
Vegetarian noodles		素面	sù-miàn			
Qingming festival		清明节	qīng-míng-jié			
Taoist temple		道观	dào-guàn			
Taoism		道教	dào-jiào			
Santa Claus		圣诞老人	shèng-dàn-lǎo-rén			
Christmas tree		圣诞树	shèng-dàn-shù			
Christmas		圣诞节	shèng-dàn-jié			
Night		夜	yè			
Year		年	nián			
New Year’s eve dinner		年夜饭	nián-yè-fàn			
New Year’s Eve		除夕	chú-xī			
Chinese New Year		春节	chūn-jié			
Lanterns		灯笼	dēng-lóng			
Fireworks		烟花	yān-huā			
Firecrackers		鞭炮	biān-pào			
Health		身体	shēn-tǐ			
Wishing you good health		身体健康！	shēn-tǐ-jiàn-kāng			
Happiness for your whole family		阖家幸福	hé-jiā-xìng-fú			
Happiness		幸福	xìng-fú			
Whole family		阖家	hé-jiā			
New Year		新年	xīn-nián			
Happy New Year		新年快乐	xīn-nián-kuài-lè			
To love		爱	ài			
Valentine’s Day		情人节	qíng-rén-jié			
Dragon Boat Festival		端午节	duān-wǔ-jié			
Dragon boat		龙舟	lóng-zhōu			
Lantern fair		灯会	dēng-huì			
Lantern Festival		元宵节	yuán-xiāo-jié			
Single		单身	dān-shēn			
Single’s Day		光棍节	guāng-gùn-jié			
Table Tennis		乒乓球	pīng-pāng-qiú			
To play		打	dǎ			
To win		赢	yíng			
Bronze		铜	tóng			
Silver		银	yín			
Bronze medal		铜牌	tóng-pái			
Silver medal		银牌	yín-pái			
Gold medal		金牌	jīn-pái			
Gold		金	jīn			
Medal		牌	pái			
Olympic Games		奥林匹克运动会	ào-lín-pī-kè-yùn-dòng-huì			
Sports games		运动会	yùn-dòng-huì			
Olympic		奥林匹克	ào-lín-pī-kè			
To lose		输	shū			
Volleyball		排球	pái-qiú			
Badminton		羽毛球	yǔ-máo-qiú			
Player		球员	qiú-yuán			
Football		足球	zú-qiú			
Basketball		篮球	lán-qiú			
Shaolin Kung Fu		少林功夫	shàolín-gōngfu			
Martial arts		武术	wǔ-shù			
Champion		冠军	guànjūn			
To like		喜欢	xǐhuān			
The most		最	zuì			
Favourite		最喜欢	zuì-xǐhuān			
Sportsmanship 		体育精神	tǐyù-jīngshén			
Performance		表现	biǎoxiàn			
Let’s go!		加油!	jiāyóu			
Team		队	duì			
To support		支持	zhīchí			
Tough		艰苦	jiānkǔ			
To train		训练	xùnliàn			
Interesting		有趣	yǒuqù			
The World Cup		世界杯	shìjiè-bēi			
Winter Olympics		冬季奥运会	dōng-jì-ào-yùn-huì			
Asian Games		亚洲运动会	yà-zhōu-yùn-dòng-huì			
Unfortunate		可惜	kěxī			
Competition		比赛	bǐsài			
Preparation		准备	zhǔn-bèi			
Ready		准备好了	zhǔnbèi-hǎo-le			
To give up		放弃	fàngqì			
Do not		不要	bù-yào			
Don’t give up		不要放弃	bù-yào-fàngqì			
To extract juice		榨汁	zhà-zhī			
Juice		汁	zhī			
To extract		榨	zhà			
To grate		刨丝	báo-sī			
Apple		苹果	píng-guǒ			
Pineapple		菠萝	bō-luó			
Mango		芒果	máng-guǒ			
Watermelon		西瓜	xī-guā			
Grapes		葡萄	pú-táo			
Banana		香蕉	xiāng-jiāo			
Fragrance		香	xiāng			
Fresh		新鲜	xīn-xiān			
Carrot		胡萝卜	hú-luó-bo			
Potato		土豆	tǔ-dòu			
To peel		剥皮	bāo-pí			
Winter melon		冬瓜	dōng-guā			
Cabbage		包菜	bāo-cài			
To roast		烘烤	hōng-kǎo			
To sauté		煸炒	biān-chǎo			
Chili pepper		辣椒	là-jiāo			
Garlic		蒜	suàn			
Soy sauce		酱油	jiàng-yóu			
Bread		面包	miàn-bāo			
Cow’s milk		牛奶	niú-nǎi			
Grocery store		杂货店	záhuò-diàn			
Than		比	bǐ			
Even more		更	gèng			
Round		圆圆的	yuán-yuán-de			
Smooth		光滑	guāng-huá			
Juicy		多汁	duō-zhī			
Unripe		未成熟	wèi chéngshú			
Not yet		未	wèi			
Ripe		成熟	chéng-shú			
Different		不一样	bù-yí-yàng			
Same		一样	yí-yàng			
Chicken egg		鸡蛋	jī-dàn			
Butter		黄油	huáng-yóu			
Yogurt		酸奶	suān-nǎi			
Whole box		整箱	zhěng-xiāng			
Bulk quantity		批量	pī-liàng			
Give me a discount		给我折扣	gěi-wǒ-zhé-kòu			
Homework		作业	zuò-yè			
Elementary school		小学	xiǎo-xué			
Classmate		同学	tóng-xué			
Grade		年级	nián-jí			
Middle school		初中	chū-zhōng			
Science stream		理科	lǐ-kē			
Humanities		文科	wén-kē			
High school student		高中生	gāo-zhōng-shēng			
High school		高中	gāo-zhōng			
Specialisation		专业	zhuān-yè			
Professor		教授	jiào-shòu			
University		大学	dà-xué			
Cup		杯	bēi			
To listen to a lecture		听讲	tīng-jiǎng			
To attend class		上课	shàng-kè			
Classroom		教室	jiào-shì			
Chinese language		中文	zhōng-wén			
Notebook		笔记本	bǐ-jì-běn			
Textbook		课本	kè-běn			
Correct		对	duì			
To answer		回答	huí-dá			
Question		问题	wèn-tí			
Absence		缺席	quē-xí			
To be present		出席	chū-xí			
Not		不	bù			
North		北	běi			
Class		课	kè			
Third		第三	dì-sān			
Second		第二	dì-èr			
First		第一	dì-yī			
Page		页	yè			
To open		打开	dǎ-kāi			
Write a little		写一写	xiě-yī-xiě			
Read aloud		读一读	dú-yī-dú			
Please write		请写	qǐng-xiě			
To write		写	xiě			
Please read		请阅读	qǐng-yuè-dú			
Please		请	qǐng			
To read		阅读	yuè-dú			
Audio tape		录音带	lù-yīn-dài			
Recording		录音	lù-yīn			
Chalk		粉笔	fěn-bǐ			
Blackboard		黑板	hēi-bǎn			
Vegetable		菜	cài			
Graduation		毕业	bì-yè			
To enter school		入学	rù-xué			
To revise		复习	fù-xí			
Cram school		补习班	bǔ-xí-bān			
Exam results		考试成绩	kǎoshì-chéngjì			
Grades		成绩	chéngjì			
To take an exam		参加考试	cān-jiā-kǎo-shì			
Exam		考试	kǎo-shì			
To fail an exam		不及格	bù-jí-gé			
To pass an exam		及格	jí-gé			
Company		公司(	gōngsī			
Department		部门	bùmén			
Chief executive officer		总裁	zǒngcái			
New employee		新员工	xīn-yuán-gōng			
Employee		员工	yuán-gōng			
Section Manager		部门经理	bù-mén-jīng-lǐ			
Supervisor		上司	shàng-si			
Junior		后辈	hòu-bèi			
Senior		前辈	qián-bèi			
Talk		话	huà			
Electricity		电	diàn			
Break time		休息时间	xiū-xí-shí-jiān			
Working hours		工作时间	gōng-zuò-shí-jiān			
Work		工作	gōng-zuò			
Factory		工厂	gōng-chǎng			
To lock		锁	suǒ			
Waiting room		等候室	děng-hòu-shì			
Break room		休息室	xiū-xī-shì			
Room		室	shì			
To rest		休息	xiū-xī			
Recipient		收件人	shōu-jiàn-rén			
Inbox		收件箱	shōu-jiàn-xiāng			
Attachment		附件	fù-jiàn			
Sender		发件人	fā-jiàn-rén			
To take notes		记笔记	jì-bǐjì			
Notes		笔记	bǐ-jì			
To save		保存	bǎo-cún			
To edit		编辑	biān-jí			
To print		打印	dǎ-yìn			
Reception room		接待室	jiē-dài-shì			
Guests		接待	jiē-dài			
Service		服务	fú-wù			
Client		客户	kè-hù			
To confirm		确认	quèrèn			
Discussion		讨论	tǎo-lùn			
Flight		航班	háng-bān			
Itinerary		行程	xíng-chéng			
To go on a business trip		出差	chū-chāi			
File cabinet		文件柜	wén-jiàn-guì			
Office desk		办公桌	bàn-gōng-zhuō			
Printing paper		打印纸	dǎ yìn zhǐ			
Internet		网络	wǎng-luò			
Desktop computer		台式电脑	台-tái-shì-diàn-nǎo			
Hole puncher		打孔器	dǎ kǒng qì			
Staple		订书针	dìng shū zhēn			
Stapler		订书机	dìng shū jī			
Photocopier		复印机	fù yìn jī			
To copy		复印	fùyìn			
Fax		传真	chuán zhēn			
To proceed		进行	jìnxíng			
Currently		正在	zhèng-zài			
Often		经常	jīngcháng			
To go out		出去	chū-qù			
To come in		进来	jìn-lái			
Can		可以	kěyǐ			
To stand up		站起来	zhàn-qǐl-ái			
To stand		站	zhàn			
To sit		坐	zuò			
Excuse me		请问	qǐng-wèn			
To permit		允许	yǔn-xǔ			
Can I?		我能不能？(	wǒ-néng-bù-néng			
To let		让	ràng			
To archive		存档	cún-dǎng			
To retain		保留	bǎo-liú			
 To install		安装	ān-zhuāng			
To download		下载	xià-zǎi			
Software		​​软件	ruǎnjiàn			
To ventilate		通风	tōng-fēng			
Window		窗户	chuāng-hù			
To close		关	guān			
Door		门	mén			
Don’t		别	bié			
To prohibit		禁止	jìn-zhǐ			
Eating with hands		手抓饭	shǒu-zhuā-fàn			
To eat		吃饭	chīfàn			
To waste		浪费	làngfèi			
Leftover food		剩饭菜	shèng-fàn-cài			
Time		时候	shíhòu			
Sound		声音	shēngyīn			
To send out		发出	fā-chū			
Public place		公共场所	gōng-gòng-chǎng-suǒ			
No smoking		禁止吸烟	jìn-zhǐ-xī-yān			
To smoke		吸烟	xī-yān			
Trash can		垃圾桶	lājītǒng			
To throw		扔	rēng			
Garbage		垃圾	lā-jī			
Loud		大声	dà-shēng			
To speak		说话	shuōhuà			
Telephone		电话	diànhuà			
To have a runny nose		流鼻涕	liú bítì			
To have a fever		发烧	fā-shāo			
To sneeze		打喷嚏	dǎ pēntì			
To catch a cold		感冒	gǎn-mào			
