English	Foreign	Transliteration	Context
Britain is small.	イギリスはちいさいです。		talk about countries
Is Canada small?	カナダはちいさいですか。		talk about countries
No, he's Japanese.	いいえ、にほんじんです。		talk about countries
No, she's British.	いいえ、イギリスじんです。		talk about countries
Is Ken British?	けんさんはイギリスじんですか。		talk about countries
America	アメリカ		talk about countries
Canadian	カナダじん		talk about countries
Japanese	にほんじん		talk about countries
small	ちいさい		talk about countries
hotel	ホテル		ask for directions
university	だいがく		ask for directions
Where is the train station?	えきはどこですか。		ask for directions
bus stop	バスてい		ask for directions
This is a bus stop.	これはバスていです。		ask for directions
The department store is here.	デパートはここです。		ask for directions
The convenience store is here.	コンビニはここです。		ask for directions
It's here.	ここです。		ask for directions
Where is the university?	だいがくはどこですか。		ask for directions
there	そこ		ask for directions
a hotel and a convenience store	ホテルとコンビニ		ask for directions
shoe	くつ		describe belongings
shoes	くつ		describe belongings
white	しろい		describe belongings
The umbrellas are there.	かさはそこです。		describe belongings
red coats and white coats	あかいコートとしろいコート		describe belongings
Where are my hats?	わたしのぼうしはどこですか。		describe belongings
Are those my hats?	それらはわたしのぼうしですか。		describe belongings
a red umbrella and white shoes	あかいかさとしろいくつ		describe belongings
These are my hats.	これらはわたしのぼうしです。		describe belongings
These are my coats.	これらはわたしのコートです。		describe belongings
Those are my red umbrellas.	それらはわたしのあかいかさです。		describe belongings
This is my umbrella.	これはわたしのかさです。		describe belongings
These are white coats.	これらはしろいコートです。		describe belongings
shoes and a hat	くつとぼうし		describe belongings
white hats	しろいぼうし		describe belongings
Where is Mr. Tanaka?	たなかさんはどこですか。		talk about neighbors
Naomi is cute.	なおみさんはかわいいです。		talk about neighbors
She's Ms. Nakayama.	なかやまさんです。		talk about neighbors
Ms. Nakayama is cool.	なかやまさんはかっこいいです。		talk about neighbors
Ken is funny.	けんさんはおもしろいです。		talk about neighbors
That person is nice.	そのひとはやさしいです。		talk about neighbors
Naomi Yamaguchi is funny.	やまぐちなおみさんはおもしろいです。		talk about neighbors
This person is cool.	このひとはかっこいいです。		talk about neighbors
three	三		tell time
one	一		tell time
two	二		tell time
Yes, it's two o'clock.	はい、にじです。		tell time
What time is it?	なんじですか。		tell time
No, it's two thirty.	いいえ、二じはんです。		tell time
Yes, it's three o'clock.	はい、三じです。		tell time
Teacher, what time is it now?	せんせい、いまなんじですか。		tell time
It's about one o'clock now.	いま一じごろです。		tell time
Is it three o'clock?	さんじですか。		tell time
What time is it now?	いまなんじですか。		tell time
It's two o'clock.	二じです。		tell time
one o'clock	一じ		tell time
No, it's two o'clock.	いいえ、二じです。		tell time
It's three o'clock.	さんじです。		tell time
passport	パスポート		get help when traveling
Where is Mr. Tanaka?	田中さんはどこですか。		get help when traveling
smartphone	スマホ		get help when traveling
This is Ken's smartphone.	これはけんさんのスマホです。		get help when traveling
bag	かばん		get help when traveling
The subway isn't there.	ちかてつはそこじゃないです。		get help when traveling
The bus stop isn't here.	バスていはここじゃないです。		get help when traveling
Ms. Nakayama's map is here.	中山さんのちずはここです。		get help when traveling
Where's the subway?	ちかてつはどこですか。		get help when traveling
airport	くうこう		get help when traveling
map	ちず		get help when traveling
This isn't Ken's passport.	これはけんさんのパスポートじゃないです。		get help when traveling
It's not Ms. Nakayama's passport.	中山さんのパスポートじゃないです。		get help when traveling
Yes, it's Mr. Tanaka's smartphone.	はい、田中さんのスマホです。		get help when traveling
Is that Ms. Yamaguchi's passport?	それは山口さんのパスポートですか。		get help when traveling
Hana's map	はなさんのちず		get help when traveling
That's not my ticket.	それはわたしのきっぷじゃないです。		get help when traveling
ticket	きっぷ		get help when traveling
Where's the airport?	くうこうはどこですか。		get help when traveling
Is it Mr. Tanaka's bag?	田中さんのかばんですか。		get help when traveling
The map is here.	ちずはここです。		get help when traveling
Yes, I'm from Osaka.	はい、おおさかしゅっしんです。		get to know people
Are you from Toronto?	トロントしゅっしんですか。		get to know people
city	とし		get to know people
Nice to meet you!	はじめまして！		get to know people
Kyoto is also clean.	京都もきれいです。		get to know people
Is New York clean?	ニューヨークはきれいですか。		get to know people
This town is clean.	このまちはきれいです。		get to know people
Nice to meet you, what's your name?	はじめまして、おなまえは？		get to know people
Are you from Canada?	カナダしゅっしんですか。		get to know people
Tokyo is also lively.	東京もにぎやかです。		get to know people
Yes, New York is lively.	はい、ニューヨークはにぎやかです。		get to know people
Is Kyoto lively?	京都はにぎやかですか。		get to know people
Yes, I'm from Japan.	はい、日本しゅっしんです。		get to know people
Osaka is lively.	おおさかはにぎやかです。		get to know people
I'm from Japan.	日本しゅっしんです。		get to know people
Do you live in Osaka?	おおさかにすんでいますか。		get to know people
Tokyo isn't a small town.	東京はちいさいまちじゃないです。		get to know people
Toronto is also a big city.	トロントもおおきいとしです。		get to know people
Are you from New York?	ニューヨークしゅっしんですか。		get to know people
Good morning, Ms. Nakayama.	中山さん、おはようございます。		get to know people
Are you from Tokyo?	東京しゅっしんですか。		get to know people
Excuse me, what's your name?	すみません、おなまえは？		get to know people
Nice to meet you, I'm Naomi.	はじめまして、なおみです。		get to know people
I live in Osaka.	おおさかにすんでいます。		get to know people
I live in Japan.	日本にすんでいます。		get to know people
Yes, I live in Japan.	はい、日本にすんでいます。		get to know people
My daughter lives in Brazil.	むすめはブラジルにすんでいます。		describe your family
No, Ken isn't four years old.	いいえ、けんさんは四さいじゃないです。		describe your family
mom	母		describe your family
My older sister is famous.	あねはゆうめいです。		describe your family
My son is also smart.	むすこもあたまがいいです。		describe your family
My older sister is also a college student.	あねもだいがくせいです。		describe your family
My dad is nice.	父はやさしいです。		describe your family
five	五		describe your family
Naomi is busy.	なおみさんはいそがしいです。		describe your family
Ken is noisy.	けんさんはうるさいです。		describe your family
Ms. Nakayama is also a nurse.	中山さんもかんごしです。		describe your family
My dad is busy.	父はいそがしいです。		describe your family
Where is my younger sister?	いもうとはどこですか。		describe your family
My younger sister is three years old.	いもうとは三さいです。		describe your family
Naomi is smart.	なおみさんはあたまがいいです。		describe your family
My younger brother is smart.	おとうとはあたまがいいです。		describe your family
Mr. Tanaka is also busy.	田中さんもいそがしいです。		describe your family
My mom is an engineer.	母はエンジニアです。		describe your family
My daughter is cute.	むすめはかわいいです。		describe your family
He's five years old.	五さいです。		describe your family
My younger brother is cute.	おとうとはかわいいです。		describe your family
My younger sister is also famous.	いもうともゆうめいです。		describe your family
Where is my younger brother?	おとうとはどこですか。		describe your family
My older sister is an office worker.	あねはかいしゃいんです。		describe your family
No, my younger brother is five years old.	いいえ、おとうとは五さいです。		describe your family
TV	テレビ		talk about hobbies
I read manga.	まんがを読みます。		talk about hobbies
music	おんがく		talk about hobbies
Do you play soccer?	サッカーをしますか。		talk about hobbies
Do you listen to jazz?	ジャズをききますか。		talk about hobbies
Yes, I read books.	はい、本を読みます。		talk about hobbies
No, I watch movies.	いいえ、えいがを見ます。		talk about hobbies
Yes, I read the news.	はい、ニュースを読みます。		talk about hobbies
This isn't anime.	これはアニメじゃないです。		talk about hobbies
basketball	バスケットボール		talk about hobbies
Do you watch funny movies?	おもしろいえいがを見ますか。		talk about hobbies
I sometimes read the news.	ときどきニュースを読みます。		talk about hobbies
I often watch anime.	よくアニメを見ます。		talk about hobbies
soccer	サッカー		talk about hobbies
No, I listen to music.	いいえ、おんがくをききます。		talk about hobbies
Yes, I listen to jazz.	はい、ジャズをききます。		talk about hobbies
I watch funny movies.	おもしろいえいがを見ます。		talk about hobbies
I sometimes play soccer.	ときどきサッカーをします。		talk about hobbies
Do you read books?	本を読みますか。		talk about hobbies
I read the news.	ニュースを読みます。		talk about hobbies
I sometimes read manga.	ときどきまんがを読みます。		talk about hobbies
Do you watch movies?	えいがを見ますか。		talk about hobbies
books and magazines	本とざっし		talk about hobbies
Do you drink coffee?	コーヒーをのみますか。		describe eating habits
lunch	ひるごはん		describe eating habits
I eat dinner at nine o'clock.	九時にばんごはんをたべます。		describe eating habits
I watch TV at eight o'clock.	八時にテレビを見ます。		describe eating habits
I drink coffee at twelve o'clock.	十二時にコーヒーをのみます。		describe eating habits
I eat ramen at eleven o'clock.	十一時にラーメンをたべます。		describe eating habits
I watch anime at eight o'clock.	八時にアニメを見ます。		describe eating habits
I drink coffee every morning.	まいあさコーヒーをのみます。		describe eating habits
sandwich	サンドイッチ		describe eating habits
I eat a sandwich every day.	まいにちサンドイッチをたべます。		describe eating habits
I eat boxed lunches every day.	まいにちべんとうをたべます。		describe eating habits
I drink juice every morning.	まいあさジュースをのみます。		describe eating habits
Do you eat sushi?	すしをたべますか。		describe eating habits
breakfast	あさごはん		describe eating habits
Yes, I eat lunch at eleven o'clock.	はい、十一時にひるごはんをたべます。		describe eating habits
I eat lunch at twelve o'clock.	十二時にひるごはんをたべます。		describe eating habits
Bread is tasty.	パンはおいしいです。		describe eating habits
No, I drink green tea.	いいえ、おちゃをのみます。		describe eating habits
It's a tasty breakfast.	おいしいあさごはんです。		describe eating habits
Yes, I drink coffee.	はい、コーヒーをのみます。		describe eating habits
Do you drink juice?	ジュースをのみますか。		describe eating habits
necktie	ネクタイ		shop for clothes
jacket	ジャケット		shop for clothes
I want new clothes.	新しいふくがほしいです。		shop for clothes
store	みせ		shop for clothes
How much is that dress over there?	あのドレスはいくらですか。		shop for clothes
That dress over there is cheap, isn't it?	あのドレスはやすいですね。		shop for clothes
This coat is old.	このコートは古いです。		shop for clothes
This coat is hideous.	このコートはダサいです。		shop for clothes
Is that umbrella over there cheap?	あのかさはやすいですか。		shop for clothes
Where is my wallet?	私のさいふはどこですか。		shop for clothes
dress	ドレス		shop for clothes
This is old.	これは古いです。		shop for clothes
I want this t-shirt.	このTシャツがほしいです。		shop for clothes
This red t-shirt is cheap, isn't it?	このあかいTシャツはやすいですね。		shop for clothes
I want Hana's jacket.	はなさんのジャケットがほしいです。		shop for clothes
I don't really like blue shoes...	あおいくつはちょっと...		shop for clothes
My older brother's clothes are hideous.	あにのふくはダサいです。		shop for clothes
Naomi's umbrella is new, isn't it?	なおみさんのかさは新しいですね。		shop for clothes
How much is this hat?	このぼうしはいくらですか。		shop for clothes
This umbrella is lovely, isn't it?	このかさはすてきですね。		shop for clothes
My wallet is hideous.	私のさいふはダサいです。		shop for clothes
This skirt is cute, isn't it?	このスカートはかわいいですね。		shop for clothes
Naomi's jacket is cool, isn't it?	なおみさんのジャケットはかっこいいですね。		shop for clothes
Ms. Yamaguchi's dress is cute, isn't it?	山口さんのドレスはかわいいですね。		shop for clothes
I don't really like this wallet...	このさいふはちょっと...		shop for clothes
How much is that black jacket over there?	あのくろいジャケットはいくらですか。		shop for clothes
black tea	こうちゃ		order food and drink
Two coffees, please.	コーヒーをふたつください。		order food and drink
water	水		order food and drink
This pizza is big, isn't it?	このピザは大きいですね。		order food and drink
salad	サラダ		order food and drink
Is that soba tasty?	そのそばはおいしいですか。		order food and drink
This soba is cheap, isn't it?	このそばはやすいですね。		order food and drink
It's a bit expensive, isn't it?	少し高いですね。		order food and drink
This rice ball is big, isn't it?	このおにぎりは大きいですね。		order food and drink
ice cream	アイスクリーム		order food and drink
Okay then, water, please.	じゃあ、水をください。		order food and drink
Oh, curry, please.	あ、カレーをください。		order food and drink
Um, cake, please.	ええと、ケーキをください。		order food and drink
Okay then, four boxed lunches, please.	じゃあ、べんとうをよっつください。		order food and drink
Oh, coffee, please.	あ、コーヒーをください。		order food and drink
Excuse me, three coffees, please.	すみません、コーヒーをみっつください。		order food and drink
Excuse me, coffee, please.	すみません、コーヒーをください。		order food and drink
Four waters, please.	水をよっつください。		order food and drink
Excuse me, two rice balls, please.	すみません、おにぎりをふたつください。		order food and drink
Excuse me, three ice creams, please.	すみません、アイスクリームをみっつください。		order food and drink
Okay then, one black tea, please.	じゃあ、こうちゃをひとつください。		order food and drink
One ice cream, please.	アイスクリームをひとつください。		order food and drink
Okay then, coffee, please.	じゃあ、コーヒーをください。		order food and drink
Three salads, please.	サラダをみっつください。		order food and drink
Excuse me, four salads please.	すみません、サラダをよっつください。		order food and drink
Okay then, three black teas, please.	じゃあ、こうちゃをみっつください。		order food and drink
Excuse me, udon, please.	すみません、うどんをください。		order food and drink
This tempura, please.	このてんぷらをください。		order food and drink
family	かぞく		use present tense verbs
I swim often.	よくおよぎます。		use present tense verbs
I play tennis.	テニスをします。		use present tense verbs
I watch anime with friends.	ともだちとアニメを見ます。		use present tense verbs
On weekends, I do karate.	しゅうまつはからてをします。		use present tense verbs
I watch funny videos.	おもしろいどうがを見ます。		use present tense verbs
On Sundays, I do judo with my dad.	日曜日は父とじゅうどうをします。		use present tense verbs
On weekends, I play video games.	しゅうまつはゲームをします。		use present tense verbs
On Saturdays, I do judo.	土曜日はじゅうどうをします。		use present tense verbs
On Sundays, I do yoga.	日曜日はヨガをします。		use present tense verbs
I watch dramas.	ドラマを見ます。		use present tense verbs
Do you swim?	およぎますか。		use present tense verbs
I do judo.	じゅうどうをします。		use present tense verbs
On weekends, I swim.	しゅうまつはおよぎます。		use present tense verbs
On Saturdays, I play soccer.	土曜日はサッカーをします。		use present tense verbs
I do yoga with my family.	かぞくとヨガをします。		use present tense verbs
On weekends, I talk with friends.	しゅうまつはともだちと話します。		use present tense verbs
Do you have an ATM?	ATMはありますか。		get around a station
taxi	タクシー		get around a station
No, we don't have wifi.	いいえ、wifiはありません。		get around a station
restroom	おてあらい		get around a station
It's close, isn't it?	ちかいですね。		get around a station
outlet	コンセント		get around a station
Excuse me, where is the exit?	すみません、でぐちはどこですか。		get around a station
The platforms are on the first floor.	ホームはいっかいです。		get around a station
Is the convenience store far?	コンビニはとおいですか。		get around a station
The cafe is far, isn't it?	カフェはとおいですね。		get around a station
Um, do you have vending machines?	ええと、じはんきはありますか。		get around a station
Is the convenience store on the second floor?	コンビニはにかいですか。		get around a station
The platforms are over there.	ホームはあそこです。		get around a station
Do you have vending machines?	じはんきはありますか。		get around a station
Is the elevator close?	エレベーターはちかいですか。		get around a station
trash can	ゴミばこ		get around a station
Excuse me, do you have an outlet?	すみません、コンセントはありますか。		get around a station
Sorry, we don't have phones.	すみません、でんわはありません。		get around a station
Sorry, we don't have a trash can.	すみません、ゴミばこはありません。		get around a station
Excuse me, do you have a restroom?	すみません、おてあらいはありますか。		get around a station
Oh, we don't have wifi.	あ、wifiはありません。		get around a station
Are the stairs over there?	かいだんはあそこですか。		get around a station
It's far, isn't it?	とおいですね。		get around a station
We don't have a trash can.	ゴミばこはありません。		get around a station
Excuse me, where is the ticket gate?	すみません、かいさつはどこですか。		get around a station
Um, do you have a restroom?	ええと、おてあらいはありますか。		get around a station
Where is the ATM?	ATMはどこですか。		get around a station
The elevator is over there.	エレベーターはあそこです。		get around a station
Excuse me, where are the stairs?	すみません、かいだんはどこですか。		get around a station
The elevator is far, isn't it?	エレベーターはとおいですね。		get around a station
Do you have a map?	ちずはありますか。		get around a station
Excuse me, do you have vending machines?	すみません、じはんきはありますか。		get around a station
radio	ラジオ		describe your routine
pasta	パスタ		describe your routine
I play basketball every week.	まいしゅうバスケットボールをします。		describe your routine
newspaper	新聞		describe your routine
I eat lunch around twelve o'clock.	十二時ごろひるごはんを食べます。		describe your routine
I'm going to talk to Ken next week.	らいしゅうけんさんと話します。		describe your routine
I'm going to watch a new drama next week.	らいしゅう新しいドラマを見ます。		describe your routine
I'm going to drink coffee with my lawyer next week.	らいしゅう私のべんごしとコーヒーを飲みます。		describe your routine
I'm going to buy new clothes next week.	らいしゅう新しいふくを買います。		describe your routine
I'm going to eat dinner with Naomi tomorrow.	あしたなおみさんとばんごはんを食べます。		describe your routine
I'm going to buy a new manga tomorrow.	あした新しいまんがを買います。		describe your routine
I'm going to do karate tomorrow.	あしたからてをします。		describe your routine
What time do you get up?	何時におきますか。		describe your routine
volleyball	バレーボール		describe your routine
I make dinner around three o'clock.	三時ごろばんごはんをつくります。		describe your routine
I'm going to swim next week.	らいしゅうおよぎます。		describe your routine
I eat pasta with my family every week.	まいしゅうかぞくとパスタを食べます。		describe your routine
Are you going to play baseball next week?	らいしゅうやきゅうをしますか。		describe your routine
I'm going to hang out with friends tomorrow.	あしたともだちとあそびます。		describe your routine
I'm going to eat dinner with Ken tomorrow.	あしたけんさんとばんごはんを食べます。		describe your routine
I make pasta with my dad every week.	まいしゅう父とパスタをつくります。		describe your routine
What time do you read the newspaper?	何時に新聞を読みますか。		describe your routine
Are you going to play soccer tomorrow?	あしたサッカーをしますか。		describe your routine
Hello, my name is Andrew.	こんにちは、アンドリューと言います。		talk about interests
What kind of sports do you like?	どんなスポーツがすきですか。		talk about interests
She's my girlfriend.	私のかのじょです。		talk about interests
I often read mysteries.	よくミステリーを読みます。		talk about interests
Do you watch fantasy movies?	ファンタジーえいがを見ますか。		talk about interests
I like Japanese fantasy manga.	日本のファンタジーまんががすきです。		talk about interests
Really? I also like basketball!	ほんとうですか？私もバスケットボールがすきです！		talk about interests
Daniel is from Vietnam.	ダニエルさんはベトナムしゅっしんです。		talk about interests
My boyfriend is also from Vietnam.	私のかれしもベトナムしゅっしんです。		talk about interests
What kind of video games do you like?	どんなゲームがすきですか。		talk about interests
This is Daniel.	こちらはダニエルさんです。		talk about interests
I watch comedies every night.	まいばんコメディを見ます。		talk about interests
I like American action dramas.	アメリカのアクションドラマがすきです。		talk about interests
I often watch mystery dramas with my family.	よくかぞくとミステリードラマを見ます。		talk about interests
Daniel is my boyfriend.	ダニエルさんは私のかれしです。		talk about interests
No, I'm from Vietnam.	いいえ、ベトナムしゅっしんです。		talk about interests
I don't really like action movies...	アクションえいがはちょっと...		talk about interests
I don't really like mysteries...	ミステリーはちょっと...		talk about interests
Nice to meet you, my name is Daniel.	はじめまして、ダニエルと言います。		talk about interests
My girlfriend also does karate.	私のかのじょもからてをします。		talk about interests
What kind of ice cream do you like?	どんなアイスクリームがすきですか。		talk about interests
I don't really like comedies...	コメディはちょっと...		talk about interests
I often listen to K-pop.	よくKポップをききます。		talk about interests
Andrew also watches dramas.	アンドリューさんもドラマを見ます。		talk about interests
My name is Daniel.	ダニエルと言います。		talk about interests
Are you from China?	ちゅうごくしゅっしんですか。		talk about interests
My dad is from Korea.	父はかんこくしゅっしんです。		talk about interests
bed	ベッド		describe your home
I have an old fridge.	古いれいぞうこがあります。		describe your home
table	テーブル		describe your home
I have an old shower.	古いシャワーがあります。		describe your home
house	いえ		describe your home
I have a well-lit shower.	あかるいシャワーがあります。		describe your home
I still live in a cramped apartment.	まだせまいアパートにすんでいます。		describe your home
The apartment is cramped.	アパートはせまいです。		describe your home
I don't really like this cramped living room...	このせまいリビングはちょっと...		describe your home
desk	つくえ		describe your home
I'm going to move tomorrow!	あしたひっこします！		describe your home
I have an expensive vacuum cleaner.	たかいそうじきがあります。		describe your home
I'll probably buy a bookshelf.	たぶんほんだなを買います。		describe your home
The living room is spacious.	リビングはひろいです。		describe your home
I'll probably buy a new vacuum cleaner.	たぶん新しいそうじきを買います。		describe your home
This house is well-lit, isn't it?	このいえはあかるいですね。		describe your home
The apartment is well-lit.	アパートはあかるいです。		describe your home
chair	いす		describe your home
The apartment is spacious.	アパートはひろいです。		describe your home
I'm going to buy a new fridge tomorrow.	あした新しいれいぞうこを買います。		describe your home
I still live in an apartment.	まだアパートにすんでいます。		describe your home
I'll probably buy an air conditioner.	たぶんエアコンを買います。		describe your home
I want a bookshelf.	ほんだながほしいです。		describe your home
I want a big washing machine.	大きいせんたくきがほしいです。		describe your home
I'm going to buy a washing machine tomorrow.	あしたせんたくきを買います。		describe your home
I don't really like this kitchen.	このキッチンはちょっと...		describe your home
When are you going to buy a TV?	いつテレビを買いますか。		describe your home
I have a cramped shower.	せまいシャワーがあります。		describe your home
I have a cheap futon.	やすいふとんがあります。		describe your home
I live in an old apartment.	古いアパートにすんでいます。		describe your home
train	でんしゃ		take public transit
Next is Yokohama.	つぎはよこはまです。		take public transit
Is Asakusa close?	あさくさはちかいですか。		take public transit
Is the next station Tokyo Station?	つぎのえきは東京えきですか。		take public transit
Eight hours is long, isn't it?	八時間はながいですね。		take public transit
That train over there goes to Kyoto.	あのでんしゃは京都に行きます。		take public transit
Asakusa Station is old, isn't it?	あさくさえきは古いですね。		take public transit
Yes, it takes ten minutes.	はい、十分かかります。		take public transit
Does this train go to Ueno Park?	このでんしゃはうえのこうえんに行きますか。		take public transit
Um, about how long will it take?	ええと、どのぐらいかかりますか。		take public transit
It takes about thirty minutes.	三十分ぐらいかかります。		take public transit
Mr. Tanaka, about how long will it take?	田中さん、どのぐらいかかりますか。		take public transit
This isn't the final stop.	ここはしゅうてんじゃないです。		take public transit
That bus over there goes to Akihabara.	あのバスはあきはばらに行きます。		take public transit
That bus over there goes to Osaka.	あのバスはおおさかに行きます。		take public transit
This is Shibuya.	ここはしぶやです。		take public transit
Ueno Park is nice, isn't it?	うえのこうえんはいいですね。		take public transit
Does this train go to the airport?	このでんしゃはくうこうに行きますか。		take public transit
It's fast, isn't it?	はやいですね。		take public transit
It takes about fifty minutes.	五十分ぐらいかかります。		take public transit
Does this train go to Tokyo?	このでんしゃは東京に行きますか。		take public transit
This building is very tall.	このたてものはとても高いです。		use na-adjectives
Excuse me, what is that over there?	すみません、あれは何ですか。		use na-adjectives
This postcard is five hundred yen.	このポストカードは五百えんです。		use na-adjectives
This pizza shop is really nice, isn't it?	このピザやはほんとうにいいですね。		use na-adjectives
This ramen shop is lively.	このラーメンやはにぎやかです。		use na-adjectives
How much is this snack?	このおかしはいくらですか。		use na-adjectives
building	たてもの		use na-adjectives
Ken is also going to buy a postcard.	けんさんもポストカードを買います。		use na-adjectives
How about a postcard?	ポストカードはどうですか。		use na-adjectives
Kyoto is really pretty.	京都はほんとうにきれいです。		use na-adjectives
shrine	じんじゃ		use na-adjectives
This flower is pretty, isn't it?	このはなはきれいですね。		use na-adjectives
What kind of place is Tokyo?	東京はどんなところですか。		use na-adjectives
How about a souvenir?	おみやげはどうですか。		use na-adjectives
Is Mt. Fuji famous?	ふじさんはゆうめいですか。		use na-adjectives
This mountain is very tall, isn't it?	この山はとても高いですね。		use na-adjectives
Mt. Fuji is really famous.	ふじさんはほんとうにゆうめいです。		use na-adjectives
This building is really pretty.	このたてものはほんとうにきれいです。		use na-adjectives
Is that mountain over there also tall?	あの山も高いですか。		use na-adjectives
How old are you?	何さいですか。		get emergency help
Yes, my dad lives nearby.	はい、父はちかくにすんでいます。		get emergency help
hospital	びょういん		get emergency help
I'm going to sit a bit.	すこしすわります。		get emergency help
Where are the police?	けいさつはどこですか。		get emergency help
Do your parents live nearby?	ごりょうしんはちかくにすんでいますか。		get emergency help
Excuse me, I need an ambulance, please.	すみません、きゅうきゅうしゃをおねがいします。		get emergency help
Will you make sure to rest?	ちゃんと休みますか。		get emergency help
I need your family's phone number, please.	ごかぞくのでんわばんごうをおねがいします。		get emergency help
I'll make sure to drink water.	ちゃんと水を飲みます。		get emergency help
Where is the hospital?	びょういんはどこですか。		get emergency help
I'm also going to sit a bit.	私もすこしすわります。		get emergency help
My dad is fifty-nine years old.	父は五十九さいです。		get emergency help
Ms. Yamaguchi, I need your phone number, please.	山口さん、でんわばんごうをおねがいします。		get emergency help
Um, is it dangerous?	ええと、あぶないですか。		get emergency help
It's dangerous.	あぶないです。		get emergency help
No, it's OK.	いいえ、だいじょうぶです。		get emergency help
I'm going to the hospital.	びょういんに行きます。		get emergency help
I need the police, please.	けいさつをおねがいします。		get emergency help
Excuse me, how old are you?	すみません、何さいですか。		get emergency help
I need your parents' phone number, please.	ごりょうしんのでんわばんごうをおねがいします。		get emergency help
pool	プール		talk about weather
How's the weather?	てんきはどうですか。		talk about weather
winter	ふゆ		talk about weather
Tomorrow will be sunny.	あしたははれです。		talk about weather
park	こうえん		talk about weather
I always go to concerts with Naomi.	いつもなおみさんとコンサートに行きます。		talk about weather
Osaka will be cold.	おおさかはさむいです。		talk about weather
Fall is pretty, isn't it?	あきはきれいですね。		talk about weather
On rainy days, I read books.	あめの日は本を読みます。		talk about weather
On rainy days, I watch anime.	あめの日はアニメを見ます。		talk about weather
Today will be warm.	きょうはあたたかいです。		talk about weather
cold	さむい		talk about weather
spring	はる		talk about weather
I'm going to the pool next week.	らいしゅうプールに行きます。		talk about weather
I'm going to a hot spring next week.	らいしゅうおんせんに行きます。		talk about weather
Tomorrow will be cloudy.	あしたはくもりです。		talk about weather
In the winter, I always drink cocoa.	ふゆはいつもココアを飲みます。		talk about weather
The beach is pretty, isn't it?	うみはきれいですね。		talk about weather
hot	あつい		talk about weather
Today will be rainy.	きょうはあめです。		talk about weather
sunny	はれ		talk about weather
I like fall.	あきがすきです。		talk about weather
I'm going to the pool tomorrow.	あしたプールに行きます。		talk about weather
I'm going to a new restaurant this evening.	こんばん新しいレストランに行きます。		talk about weather
Spring is nice, isn't it?	はるはいいですね。		talk about weather
Japanese	日本ご		describe your family
English	えいご		describe your family
My younger sister likes Taiwan.	いもうとはたいわんがすきです。		describe your family
Korean	かんこくご		describe your family
I also know Chinese.	私もちゅうごくごができます。		describe your family
Does your kid watch anime?	おこさんはアニメを見ますか。		describe your family
My older sister likes Australia.	あねはオーストラリアがすきです。		describe your family
Is your younger sister also a Chinese teacher?	いもうとさんもちゅうごくごのせんせいですか。		describe your family
How old is your younger brother?	おとうとさんは何さいですか。		describe your family
