English	Foreign	Transliteration	Context
Goodbye.	До свидания.	-	Greet people
Yes, my dad is there.	Да, мой папа там.	-	Greet people
Excuse me, where is my tea?	Извините, где мой чай?	-	Greet people
Good afternoon, is Mom here?	Добрый день, мама здесь?	-	Greet people
Tea, please.	Чай, пожалуйста.	-	Greet people
Yes, I have tea.	Да, у меня есть чай.	-	Greet people
Bye, Mom!	Пока, мама!	-	Greet people
Milk, please.	Молоко, пожалуйста.	-	Greet people
Excuse me.	Извините.	-	Greet people
Mom is there.	Мама там.	-	Greet people
Coffee, please.	Кофе, пожалуйста.	-	Greet people
Thank you, she is already here.	Спасибо, она уже здесь.	-	Greet people
Of course!	Конечно!	-	Greet people
Yes, please.	Да, пожалуйста.	-	Greet people
Where is the park?	Где парк?	-	Greet people
Yes, this is my soup.	Да, это мой суп.	-	Greet people
This is a park.	Это парк.	-	Greet people
Alexandra drinks tea.	Александра пьёт чай.	-	Identify common objects
my child	мой ребёнок	-	Identify common objects
our egg	наше яйцо	-	Identify common objects
table	стол	-	Identify common objects
children	дети	-	Identify common objects
taxi	такси	-	Identify common objects
our plan	наш план	-	Identify common objects
our menu	наше меню	-	Identify common objects
bicycle	велосипед	-	Identify common objects
They have milk.	У них есть молоко.	-	Identify common objects
They have apples.	У них есть яблоки.	-	Identify common objects
Does he have a plan?	У него есть план?	-	Identify common objects
This is our phone.	Это наш телефон.	-	Identify common objects
telephone	телефон	-	Identify common objects
They have water.	У них есть вода.	-	Identify common objects
Where is our taxi?	Где наше такси?	-	Identify common objects
This isn't our table.	Это не наш стол.	-	Identify common objects
We already have children.	У нас уже есть дети.	-	Identify common objects
I am already in the cafe.	Я уже в кафе.	-	Identify common objects
my office	мой офис	-	Identify common objects
banana	банан	-	Identify common objects
He drinks milk.	Он пьёт молоко.	-	Identify common objects
This person eats bread.	Этот человек ест хлеб.	-	Identify common objects
We are brother and sister.	Мы брат и сестра.	-	Identify common objects
cafe	кафе	-	Identify common objects
coffee and a banana	кофе и банан	-	Identify common objects
The children are already here.	Дети уже здесь.	-	Identify common objects
The horse is eating an apple.	Лошадь ест яблоко.	-	Identify common objects
Katya is eating an egg.	Катя ест яйцо.	-	Identify common objects
this bicycle	этот велосипед	-	Identify common objects
Where are the girls?	Где девочки?	-	Form plurals
Do you have notebooks?	У вас есть тетради?	-	Form plurals
my tables	мои столы	-	Form plurals
towel	полотенце	-	Form plurals
You have horses.	У вас есть лошади.	-	Form plurals
Our cats eat eggs.	Наши кошки едят яйца.	-	Form plurals
Our actors do not eat apples.	Наши актёры не едят яблоки.	-	Form plurals
Men eat bread.	Мужчины едят хлеб.	-	Form plurals
Do you have tables?	У вас есть столы?	-	Form plurals
cats	кошки	-	Form plurals
We have cats.	У нас есть кошки.	-	Form plurals
These actors are already in the taxi.	Эти актёры уже в такси.	-	Form plurals
Where's the lake?	Где озеро?	-	Form plurals
men and women	мужчины и женщины	-	Form plurals
my horses	мои лошади	-	Form plurals
Are the lakes here?	Озёра здесь?	-	Form plurals
Where are the actors?	Где актёры?	-	Form plurals
Are these tables?	Это столы?	-	Form plurals
Where are the eggs?	Где яйца?	-	Form plurals
These are lakes.	Это озёра.	-	Form plurals
our actors	наши актёры	-	Form plurals
my plans	мои планы	-	Form plurals
This is a lake.	Это озеро.	-	Form plurals
Are they actors?	Они актёры?	-	Form plurals
My towels are here.	Мои полотенца здесь.	-	Form plurals
my towels	мои полотенца	-	Form plurals
The sisters are eating soup.	Сёстры едят суп.	-	Form plurals
Are you at home?	Ты дома?	-	Say where you are
Yes, Boston is far away.	Да, Бостон далеко.	-	Say where you are
Do we have doors?	У нас есть двери?	-	Say where you are
store	магазин	-	Say where you are
stone	камень	-	Say where you are
my school	моя школа	-	Say where you are
my door	моя дверь	-	Say where you are
tree	дерево	-	Say where you are
This stone is in the cafe.	Этот камень в кафе.	-	Say where you are
Sorry, this is not a store.	Извините, это не магазин.	-	Say where you are
The stone is already on the table.	Камень уже на столе.	-	Say where you are
Mom is already at work.	Мама уже на работе.	-	Say where you are
This bed is not in its place.	Эта кровать не на месте.	-	Say where you are
my mom	моя мама	-	Say where you are
Germany	Германия	-	Say where you are
We are in America now.	Мы сейчас в Америке.	-	Say where you are
This is Moscow.	Это Москва.	-	Say where you are
This is not the square.	Это не площадь.	-	Say where you are
Where is my pencil?	Где мой карандаш?	-	Say where you are
my doors	мои двери	-	Say where you are
No, the door is here.	Нет, дверь здесь.	-	Say where you are
Where is Germany?	Где Германия?	-	Say where you are
He is in the bathroom.	Он в туалете.	-	Say where you are
I am not at home.	Я не дома.	-	Say where you are
Where is the store?	Где магазин?	-	Say where you are
my water	моя вода	-	Say where you are
my ticket	мой билет	-	Talk about trips
my luggage	мой багаж	-	Talk about trips
car	машина	-	Talk about trips
hotel	отель	-	Talk about trips
I am looking for the exit.	Я ищу выход.	-	Talk about trips
train	поезд	-	Talk about trips
My visa is on the table.	Моя виза на столе.	-	Talk about trips
No, the exit is not here.	Нет, выход не здесь.	-	Talk about trips
I am looking for the tickets, where are they?	Я ищу билеты, где они?	-	Talk about trips
Is this your car?	Это твоя машина?	-	Talk about trips
Excuse me, where is the exit?	Извините, где выход?	-	Talk about trips
luggage	багаж	-	Talk about trips
No, I am not looking for the passport.	Нет, я не ищу паспорт.	-	Talk about trips
Where is your luggage?	Где твой багаж?	-	Talk about trips
My car is not here.	Моя машина не здесь.	-	Talk about trips
No, this is not your stop.	Нет, это не твоя остановка.	-	Talk about trips
Is this an airport?	Это аэропорт?	-	Talk about trips
this car	эта машина	-	Talk about trips
The tickets are here.	Билеты здесь.	-	Talk about trips
Here is the exit.	Вот выход.	-	Talk about trips
This is not a hotel.	Это не отель.	-	Talk about trips
Our hotel is far away.	Наш отель далеко.	-	Talk about trips
This is not a visa.	Это не виза.	-	Talk about trips
my duck	моя утка	-	Name common animals
crocodile	крокодил	-	Name common animals
Where is my deer?	Где мой олень?	-	Name common animals
Is this a snake?	Это змея?	-	Name common animals
pig	свинья	-	Name common animals
dogs or cats	собаки или кошки	-	Name common animals
a hare and a wolf	заяц и волк	-	Name common animals
chicken	курица	-	Name common animals
my pig and my cat	моя свинья и моя кошка	-	Name common animals
A duck is not a chicken.	Утка - это не курица.	-	Name common animals
The duck and the chicken are birds.	Утка и курица - птицы.	-	Name common animals
my ducks	мои утки	-	Name common animals
Ducks are birds.	Утки — это птицы.	-	Name common animals
The squirrel is drinking milk.	Белка пьёт молоко.	-	Name common animals
Our elephant is not eating.	Наш слон не ест.	-	Name common animals
my bird	моя птица	-	Name common animals
The pig is eating an apple.	Свинья ест яблоко.	-	Name common animals
The cow is in the cafe.	Корова в кафе.	-	Name common animals
I am not an elephant!	Я не слон!	-	Name common animals
These are my foxes.	Это мои лисы.	-	Name common animals
our owls	наши совы	-	Name common animals
The bear is eating.	Медведь ест.	-	Name common animals
The wolf is eating.	Волк ест.	-	Name common animals
The lion is eating.	Лев ест.	-	Name common animals
Where are my foxes?	Где мои лисы?	-	Name common animals
What is wrong?	Что не так?	-	Thank people
Excuse me, Dad.	Извини, папа.	-	Thank people
Excuse me, are you busy?	Извини, ты занят?	-	Thank people
No, I'm not busy.	Нет, я не занят.	-	Thank people
Are you Vera Ivanovna? Excellent!	Вы Вера Ивановна? Отлично!	-	Thank people
Are you Alexandra Ivanovna? Excellent!	Вы Александра Ивановна? Отлично!	-	Thank people
Is your name Ivan Ivanovich?	Вас зовут Иван Иванович?	-	Thank people
I am Vera. And you?	Я Вера. А ты?	-	Thank people
Vera, where's your cat?	Вера, где твоя кошка?	-	Thank people
Hi, is your name Ivan?	Привет, тебя зовут Иван?	-	Thank people
Excuse me, what is your name?	Извините, как вас зовут?	-	Thank people
Is Ivan Ivanovich already here?	Иван Иванович уже здесь?	-	Thank people
Excuse me, do you have a sister?	Извини, у тебя есть сестра?	-	Thank people
Good morning, are you Vera and Vanya?	Доброе утро, вы Вера и Ваня?	-	Thank people
Can you tell me where Mom is?	Можете сказать, где мама?	-	Thank people
Hi, is your name Alexandra?	Привет, тебя зовут Александра?	-	Thank people
This isn't Vera Ivanovna.	Это не Вера Ивановна.	-	Thank people
Mark is at home. And you?	Марк дома. А вы?	-	Thank people
What is your name?	Как вас зовут?	-	Thank people
Excuse me, Mom.	Извини, мама.	-	Thank people
No, my name is Victoria.	Нет, меня зовут Виктория.	-	Thank people
Good morning, what is your name?	Доброе утро, как вас зовут?	-	Thank people
Yes, my name is Ivan.	Да, меня зовут Иван.	-	Thank people
Tanya, what is wrong?	Таня, что не так?	-	Thank people
Hello, I am Ivan Chernov.	Здравствуйте, я Иван Чернов.	-	Thank people
Forgive me!	Простите!	-	Thank people
Where is Ivan Chernov?	Где Иван Чернов?	-	Thank people
Hello, Ivan.	Здравствуйте, Иван.	-	Thank people
This is our restaurant.	Это наш ресторан.	-	Say where you are from
Is she from Russia?	Она из России?	-	Say where you are from
restaurant	ресторан	-	Say where you are from
Norway	Норвегия	-	Say where you are from
Our doctor is from Italy.	Наш доктор из Италии.	-	Say where you are from
This cook is from India.	Этот повар из Индии.	-	Say where you are from
This actor is from Korea.	Этот актёр из Кореи.	-	Say where you are from
Is he from Brazil or Germany?	Он из Бразилии или Германии?	-	Say where you are from
Are you from Canada?	Ты из Канады?	-	Say where you are from
Is he from Mongolia?	Он из Монголии?	-	Say where you are from
Are you nearby?	Вы близко?	-	Say where you are from
a room	комната	-	Say where you are from
No, we are not from America.	Нет, мы не из Америки.	-	Say where you are from
Are you from Norway?	Ты из Норвегии?	-	Say where you are from
Victor lives near the station.	Виктор живёт возле станции.	-	Say where you are from
The doctor is not at the bank.	Доктор не в банке.	-	Say where you are from
Is Maria from America?	Мария из Америки?	-	Say where you are from
My mom is from Canada.	Моя мама из Канады.	-	Say where you are from
My brother is from Norway.	Мой брат из Норвегии.	-	Say where you are from
What is on the left?	Что слева?	-	Say where you are from
Victoria is from Russia.	Виктория из России.	-	Say where you are from
I am from Germany.	Я из Германии.	-	Say where you are from
My house is near the station.	Мой дом возле станции.	-	Say where you are from
She is on the right.	Она справа.	-	Say where you are from
Are they from America?	Они из Америки?	-	Say where you are from
Do you eat rice?	Ты ешь рис?	-	Talk about what people have
She does not have a pizza.	У неё нет пиццы.	-	Talk about what people have
rice	рис	-	Talk about what people have
Don't you have a cat?	У тебя нет кошки?	-	Talk about what people have
butter	масло	-	Talk about what people have
The woman has bread.	У женщины есть хлеб.	-	Talk about what people have
Mom does not have a dog.	У мамы нет собаки.	-	Talk about what people have
Well, I do not have juice.	Ну, у меня нет сока.	-	Talk about what people have
I do not drink tea.	Я не пью чай.	-	Talk about what people have
Mom does not have a duck.	У мамы нет утки.	-	Talk about what people have
The girl does not have juice.	У девочки нет сока.	-	Talk about what people have
Dad does not have a table.	У папы нет стола.	-	Talk about what people have
my butter	моё масло	-	Talk about what people have
Don't you have soup?	У тебя нет супа?	-	Talk about what people have
Where is the butter?	Где масло?	-	Talk about what people have
I do not have a cat.	У меня нет кошки.	-	Talk about what people have
He does not have a pencil.	У него нет карандаша.	-	Talk about what people have
They do not have a dog.	У них нет собаки.	-	Talk about what people have
The teacher doesn't have soup.	У учителя нет супа.	-	Talk about what people have
We do not have juice.	У нас нет сока.	-	Talk about what people have
The cat does not have an apple.	У кошки нет яблока.	-	Talk about what people have
Mom does not have tea.	У мамы нет чая.	-	Talk about what people have
Do you have juice?	У вас есть сок?	-	Talk about what people have
You do not have butter.	У тебя нет масла.	-	Talk about what people have
Mom has a brother.	У мамы есть брат.	-	Talk about what people have
Mom does not have a brother.	У мамы нет брата.	-	Talk about what people have
We do not have butter.	У нас нет масла.	-	Talk about what people have
The woman does not have a brother.	У женщины нет брата.	-	Talk about what people have
last week	прошлая неделя	-	Discuss possessions
my path	мой путь	-	Discuss possessions
your word	твоё слово	-	Discuss possessions
night	ночь	-	Discuss possessions
book	книга	-	Discuss possessions
movie	фильм	-	Discuss possessions
This is not a radio, Mom.	Это не радио, мама.	-	Discuss possessions
Vanya, here is your towel.	Ваня, вот твоё полотенце.	-	Discuss possessions
Here is your menu, and here is mine.	Вот твоё меню, а вот моё.	-	Discuss possessions
radio	радио	-	Discuss possessions
last night	прошлая ночь	-	Discuss possessions
Is this your movie?	Это твой фильм?	-	Discuss possessions
Their sisters drink tea.	Их сёстры пьют чай.	-	Discuss possessions
Their book is already here.	Их книга уже здесь.	-	Discuss possessions
Your boyfriend is in the cafe.	Твой парень в кафе.	-	Discuss possessions
your path	твой путь	-	Discuss possessions
my last life	моя прошлая жизнь	-	Discuss possessions
your dad and your mom	ваш папа и ваша мама	-	Discuss possessions
Children, this is your table.	Дети, это ваш стол.	-	Discuss possessions
your business	твоё дело	-	Discuss possessions
his mom	его мама	-	Discuss possessions
Her cat eats everything.	Её кошка ест всё.	-	Discuss possessions
Where is your radio?	Где твоё радио?	-	Discuss possessions
your taxi	ваше такси	-	Discuss possessions
this night	эта ночь	-	Discuss possessions
your teacher	ваш учитель	-	Discuss possessions
my word	моё слово	-	Discuss possessions
this week	эта неделя	-	Discuss possessions
my business	моё дело	-	Discuss possessions
Your mom is already here.	Ваша мама уже здесь.	-	Discuss possessions
Do you want bread?	Ты хочешь хлеб?	-	Make requests
Her cup is there.	Её чашка там.	-	Make requests
Do you want chicken?	Ты хочешь курицу?	-	Make requests
cup	чашка	-	Make requests
books	книги	-	Make requests
spoon	ложка	-	Make requests
She does not have a plate.	У неё нет тарелки.	-	Make requests
The boy does not have a plate.	У мальчика нет тарелки.	-	Make requests
The spoon is far from the plate.	Ложка далеко от тарелки.	-	Make requests
He wants a chicken.	Он хочет курицу.	-	Make requests
I want water. And you?	Я хочу воду. А вы?	-	Make requests
Ivan is reading our book.	Иван читает нашу книгу.	-	Make requests
He knows this girl.	Он знает эту девочку.	-	Make requests
Dima does not know Dad.	Дима не знает папу.	-	Make requests
Dima, do you want a snake?	Дима, ты хочешь змею?	-	Make requests
Mom, I see Dad.	Мама, я вижу папу.	-	Make requests
I don't see Nina.	Я не вижу Нину.	-	Make requests
Give me your plate.	Дайте мне вашу тарелку.	-	Make requests
Give me an apple, please.	Дайте мне яблоко, пожалуйста.	-	Make requests
I see a plate and a spoon.	Я вижу тарелку и ложку.	-	Make requests
Mom is reading.	Мама читает.	-	Make requests
I want rice and duck.	Я хочу рис и утку.	-	Make requests
I have a dog; I do not want a cat.	У меня собака, я не хочу кошку.	-	Make requests
Our horse drinks water.	Наша лошадь пьёт воду.	-	Make requests
I see water.	Я вижу воду.	-	Make requests
I want a dog.	Я хочу собаку.	-	Make requests
a plate and a spoon	тарелка и ложка	-	Make requests
Where is my spoon?	Где моя ложка?	-	Make requests
I do not eat chicken.	Я не ем курицу.	-	Make requests
Mom, I want a snake!	Мама, я хочу змею!	-	Make requests
I want a plate.	Я хочу тарелку.	-	Make requests
Give me juice, please.	Дайте мне сок, пожалуйста.	-	Make requests
four apples	четыре яблока	-	Use numbers
two nights	две ночи	-	Use numbers
three	три	-	Use numbers
two cups	две чашки	-	Use numbers
four	четыре	-	Use numbers
two	два	-	Use numbers
You have one day.	У вас один день.	-	Use numbers
two cups and one spoon	две чашки и одна ложка	-	Use numbers
The teacher has four questions.	У учителя четыре вопроса.	-	Use numbers
one or two times	один или два раза	-	Use numbers
one second	одна секунда	-	Use numbers
one	один	-	Use numbers
He has four cups.	У него четыре чашки.	-	Use numbers
She has four brothers.	У неё четыре брата.	-	Use numbers
tiger	тигр	-	Use numbers
They have two or three dogs.	У них две или три собаки.	-	Use numbers
two times a day	два раза в день	-	Use numbers
two or three seconds	две или три секунды	-	Use numbers
a plate and three cups	тарелка и три чашки	-	Use numbers
three sisters	три сестры	-	Use numbers
two tigers	два тигра	-	Use numbers
two ducks	две утки	-	Use numbers
three questions	три вопроса	-	Use numbers
You have four seconds.	У вас четыре секунды.	-	Use numbers
I rarely work.	Я редко работаю.	-	Describe what you do
I understand.	Я понимаю.	-	Describe what you do
My sister doesn't smoke.	Моя сестра не курит.	-	Describe what you do
Are you looking at me?	Ты смотришь на меня?	-	Describe what you do
Do you think he sees us?	Ты думаешь, он нас видит?	-	Describe what you do
He does not see the girl.	Он не видит девочку.	-	Describe what you do
I work.	Я работаю.	-	Describe what you do
I read at home.	Я читаю дома.	-	Describe what you do
I often see Dad.	Я часто вижу папу.	-	Describe what you do
I still don't understand anything.	Я ещё ничего не понимаю.	-	Describe what you do
I don't smoke.	Я не курю.	-	Describe what you do
The boy often falls.	Мальчик часто падает.	-	Describe what you do
I eat a lot of bread.	Я ем много хлеба.	-	Describe what you do
I work at the station.	Я работаю на станции.	-	Describe what you do
Yes, I am already working.	Да, я уже работаю.	-	Describe what you do
Do you understand this book?	Ты понимаешь эту книгу?	-	Describe what you do
I see a table.	Я вижу стол.	-	Describe what you do
The fox is falling.	Лиса падает.	-	Describe what you do
Mom doesn't smoke.	Мама не курит.	-	Describe what you do
I rarely think.	Я редко думаю.	-	Describe what you do
Are you already working?	Ты уже работаешь?	-	Describe what you do
I am reading. And you?	Я читаю. А вы?	-	Describe what you do
I am falling.	Я падаю.	-	Describe what you do
a glass of water	стакан воды	-	Order food
a bottle of juice	бутылка сока	-	Order food
a piece of sugar	кусок сахара	-	Order food
bottle	бутылка	-	Order food
beer	пиво	-	Order food
bowl	миска	-	Order food
Give me a jar of jam.	Дай мне банку варенья.	-	Order food
I want a bowl of soup or rice.	Хочу миску супа или риса.	-	Order food
I have neither bread nor butter.	У меня нет ни хлеба, ни масла.	-	Order food
Give me a bowl of soup.	Дай мне миску супа.	-	Order food
Where is the jar of jam?	Где банка варенья?	-	Order food
Buy a piece of cheese.	Купи кусок сыра.	-	Order food
Is this my bowl of soup?	Это моя миска супа?	-	Order food
Where is your bowl of soup?	Где твоя миска супа?	-	Order food
Where is the sugar?	Где сахар?	-	Order food
Buy sugar and salt.	Купи сахар и соль.	-	Order food
one more jar of jam	ещё одна банка варенья	-	Order food
I have a package of tea.	У меня есть пачка чая.	-	Order food
I have neither water nor tea.	У меня нет ни воды, ни чая.	-	Order food
I don't drink beer.	Я не пью пиво.	-	Order food
It is a cup of tea.	Это чашка чая.	-	Order food
a bowl of rice	миска риса	-	Order food
This is my plate of rice.	Это моя тарелка риса.	-	Order food
Give me a piece of cheese.	Дай мне кусок сыра.	-	Order food
Buy bread, please.	Купи хлеб, пожалуйста.	-	Order food
water and salt	вода и соль	-	Order food
Are you working?	Вы работаете?	-	Describe activities
Are you cooking soup?	Вы готовите суп?	-	Describe activities
breakfast	завтрак	-	Describe activities
Are you cooking dinner already?	Вы уже готовите ужин?	-	Describe activities
dinner (evening meal)	ужин	-	Describe activities
He always reads a lot.	Он всегда много читает.	-	Describe activities
It seems to me, they are not here.	Мне кажется, они не здесь.	-	Describe activities
It seems everything is fine already.	Кажется, всё уже хорошо.	-	Describe activities
one breakfast	один завтрак	-	Describe activities
Do you want to have lunch?	Вы хотите обедать?	-	Describe activities
I live here.	Я живу здесь.	-	Describe activities
Do you think I'm going home?	Вы думаете, я иду домой?	-	Describe activities
Do you think these are plates?	Вы думаете, это тарелки?	-	Describe activities
She understands what it means.	Она понимает, что это значит.	-	Describe activities
It means that we are going home.	Это значит, что мы идём домой.	-	Describe activities
Are you going or not?	Ты идёшь или нет?	-	Describe activities
I see, you like bread.	Я вижу, вы любите хлеб.	-	Describe activities
They always eat a lot.	Они всегда едят много.	-	Describe activities
Do you like rice?	Вы любите рис?	-	Describe activities
How do you say hello?	Как сказать «Здравствуйте»?	-	Describe activities
My sister eats on the bed.	Моя сестра ест на кровати.	-	Describe activities
What is the dog doing on the bed?	Что собака делает на кровати?	-	Describe activities
No, I live far away.	Нет, я живу далеко.	-	Describe activities
Are you going already?	Вы уже идёте?	-	Describe activities
Dad is standing near the door.	Папа стоит возле двери.	-	Describe activities
Nina is standing near the bank.	Нина стоит возле банка.	-	Describe activities
Her children want some juice.	Её дети хотят сока.	-	Describe activities
You are going home, right?	Ты идёшь домой, да?	-	Describe activities
Yes, we are already going.	Да, мы уже идём.	-	Describe activities
His dog is already going home.	Его собака уже идёт домой.	-	Describe activities
Are we going far?	Мы далеко идём?	-	Describe activities
Where do you live?	Где ты живёшь?	-	Describe activities
What are you cooking?	Что вы готовите?	-	Describe activities
We do not like school.	Мы не любим школу.	-	Describe activities
No, we do not cook.	Нет, мы не готовим.	-	Describe activities
I am in bed already.	Я уже в кровати.	-	Describe activities
Are you going?	Вы идёте?	-	Describe activities
You live near the school.	Ты живёшь возле школы.	-	Describe activities
How do you say goodbye?	Как сказать «До свидания»?	-	Describe activities
Mom is going home.	Мама идёт домой.	-	Describe activities
We are cooking soup.	Мы готовим суп.	-	Describe activities
I am going home.	Я иду домой.	-	Describe activities
Do you want duck?	Вы хотите утку?	-	Describe activities
Nina wants to live here.	Нина хочет жить здесь.	-	Say what you like
Do you like apples?	Ты любишь яблоки?	-	Say what you like
My mom likes cooking.	Моя мама любит готовить.	-	Say what you like
I like this city.	Я люблю этот город.	-	Say what you like
I do not like reading them.	Я не люблю их читать.	-	Say what you like
Smoking is not allowed in the cafe.	В кафе нельзя курить.	-	Say what you like
Ivan wants to know where Maria is.	Иван хочет знать, где Мария.	-	Say what you like
Do you like cheese?	Ты любишь сыр?	-	Say what you like
Smoking is not allowed here.	Здесь курить нельзя.	-	Say what you like
Dad likes tea but does not like juice.	Папа любит чай, но не любит сок.	-	Say what you like
It is a school, one is not allowed to sleep here.	Это школа, здесь нельзя спать.	-	Say what you like
I like jumping.	Я люблю прыгать.	-	Say what you like
Smoking is not allowed at our house.	У нас дома нельзя курить.	-	Say what you like
I like coffee.	Я люблю кофе.	-	Say what you like
Katya is my girlfriend.	Катя — моя девушка.	-	Say what you like
Who wants to live in America?	Кто хочет жить в Америке?	-	Say what you like
Do you like working at home?	Ты любишь работать дома?	-	Say what you like
He doesn't like jumping.	Он не любит прыгать.	-	Say what you like
My brother likes both eating and cooking.	Мой брат любит и есть, и готовить.	-	Say what you like
My girlfriend likes sleeping here.	Моя девушка любит здесь спать.	-	Say what you like
My girlfriend does not know how to cook.	Моя девушка не умеет готовить.	-	Say what you like
This is my girlfriend; she likes to sleep.	Это моя девушка, она любит спать.	-	Say what you like
I want to know everything.	Я хочу знать всё.	-	Say what you like
They like to eat at work.	Они любят есть на работе.	-	Say what you like
Children like jumping.	Дети любят прыгать.	-	Say what you like
May one sleep here?	Здесь можно спать?	-	Say what you like
I want to eat.	Я хочу есть.	-	Say what you like
And where is the bathroom?	А где туалет?	-	Say what you like
I don't know how to write.	Я не умею писать.	-	Say what you like
He wants to live in Brazil.	Он хочет жить в Бразилии.	-	Say what you like
Flies do not like bread.	Мухи не любят хлеб.	-	Say what you like
I need to sleep.	Мне надо спать.	-	Say what you like
sushi	суши	-	Talk about food
candy	конфета	-	Talk about food
Buy candy, please.	Купи конфеты, пожалуйста.	-	Talk about food
chocolate	шоколад	-	Talk about food
