English	Foreign	Transliteration	Context
The dog runs.	कुत्ता दौड़ता है।	kuttaa dauṛtaa hai.	Use the present tense
The elephant is standing on the table.	हाथी मेज़ पर खड़ा है।	haathii mej par khaṛaa hai.	Use the present tense
We are running.	हम दौड़ रहे हैं ।	ham dauṛ rahe hain .	Use the present tense
What are they playing?	वे क्या खेल रहे हैं?	ve kyaa khel rahe hain?	Use the present tense
Peter is coming from India.	पीटर भारत से आ रहा है ।	piiṭar bhaarat se aa rahaa hai .	Use the present tense
This woman is standing.	यह औरत खड़ी है।	yah aurat khaṛii hai.	Use the present tense
He does not run, he walks.	वह दौड़ता नहीं, चलता है।	vah dauṛtaa nahiin, chalataa hai.	Use the present tense
People drink water.	लोग पानी पीते हैं।	log paanii piite hain.	Describe people
Julia is a very good girl.	जूलिया एक बहुत अच्छी लड़की है।	juuliyaa ek bahut achchhii laṛkii hai.	Describe people
The bananas are green.	केले हरे हैं।	kele hare hain.	Describe people
Neha's cat is not very bad.	नेहा की बिल्ली बहुत बुरी नहीं है।	nehaa kii billii bahut burii nahiin hai.	Describe people
She is not tall, she is short.	वह लंबी नहीं, छोटी है।	vah lanbii nahiin, chhoṭii hai.	Describe people
I am not happy.	मैं ख़ुश नहीं हूँ।	main khush nahiin huun.	Describe people
How is your mother?	तुम्हारी माँ कैसी हैं?	tumhaarii maan kaisii hain?	Describe people
How are those people?	वे लोग कैसे हैं?	ve log kaise hain?	Describe people
He is not a bad man.	वह बुरा आदमी नहीं है।	vah buraa aadamii nahiin hai.	Describe people
That boy is good, not bad.	वह लड़का अच्छा है, बुरा नहीं।	vah laṛkaa achchhaa hai, buraa nahiin.	Describe people
Your daughter is very good.	आपकी बेटी बहुत अच्छी है।	aapakii beṭii bahut achchhii hai.	Describe people
Blue and yellow books	नीली और पीली किताबें	niilii aur piilii kitaaben	Describe people
Grandmother studies a lot.	दादी बहुत पढ़ती हैं।	daadii bahut paṛtii hain.	Describe people
White and red animals	सफ़ेद और लाल जानवर	saphed aur laal jaanavar	Describe people
Aamir's friends are tall.	आमिर के दोस्त लंबे हैं।	aamir ke dost lanbe hain.	Describe people
You are drinking cold milk.	तुम ठंडा दूध पी रहे हो।	tum ṭhanṛaa duudh pii rahe ho.	Talk about food
Vegetables	सब्ज़ियाँ	sabjiyaan	Talk about food
You like eggs.	आपको अंडे पसंद हैं।	aapako anṛe pasand hain.	Talk about food
Fish	मछली	machhalii	Talk about food
Peter eats salad every day.	पीटर हर दिन सलाद खाता है।	piiṭar har din salaad khaataa hai.	Talk about food
Alcohol	शराब	sharaab	Talk about food
I do not like breakfast.	मुझे नाश्ता नहीं पसंद।	mujhe naashtaa nahiin pasanda.	Talk about food
Fruits	फल	phal	Talk about food
Tomato and lemon are in the salad.	सलाद में टमाटर और नींबू है।	salaad men ṭamaaṭar aur niinbuu hai.	Talk about food
I eat fruits.	मैं फलों को खाती हूँ।	main phalon ko khaatii huun.	Talk about food
There is no alcohol in my house.	मेरे घर में शराब नहीं है।	mere ghar men sharaab nahiin hai.	Talk about food
Tomato	टमाटर	ṭamaaṭar	Talk about food
This food is not good.	यह खाना अच्छा नहीं है।	yah khaanaa achchhaa nahiin hai.	Talk about food
Julia wants salad.	जूलिया को सलाद चाहिए।	juuliyaa ko salaad chaahie.	Talk about food
Neha is drinking water.	नेहा पानी पी रही है।	nehaa paanii pii rahii hai.	Talk about food
You want eggs and mangoes.	तुझे अंडे और आम चाहिए।	tujhe anṛe aur aam chaahie.	Talk about food
He does not want food.	उसे खाना नहीं चाहिए।	use khaanaa nahiin chaahie.	Talk about food
Neha does not eat fish.	नेहा मछली नहीं खाती।	nehaa machhalii nahiin khaatii.	Talk about food
What do you like?	आपको क्या पसंद है?	aapako kyaa pasand hai?	Talk about food
The food is good.	खाना अच्छा है।	khaanaa achchhaa hai.	Talk about food
What does he want?	उसे क्या चाहिए?	use kyaa chaahie?	Talk about food
That boy does not eat breakfast.	वह लड़का नाश्ता नहीं खाता है।	vah laṛkaa naashtaa nahiin khaataa hai.	Talk about food
Nine, ten, and hundred	नौ, दस, और सौ	nau, das, aur sau	Use numbers
Many boys study.	कई लड़के पढ़ते हैं।	kaii laṛke paṛte hain.	Use numbers
This fourth book is mine.	यह चौथी किताब मेरी है।	yah chauthii kitaab merii hai.	Use numbers
How many eggs?	कितने अंडे?	kitane anṛe?	Use numbers
Four thousand nine	चार हज़ार नौ	chaar hajaar nau	Use numbers
Fourth and fifth day	चौथा और पाँचवा दिन	chauthaa aur paanchavaa din	Use numbers
I want some books.	मुझे कुछ किताबें चाहिए।	mujhe kuchh kitaaben chaahie.	Use numbers
This is Raj's first daughter.	यह राज की पहली बेटी है।	yah raaj kii pahalii beṭii hai.	Use numbers
This is her first day.	यह उसका पहला दिन है।	yah usakaa pahalaa din hai.	Use numbers
Yes or no?	हाँ या नहीं?	haan yaa nahiin?	Form questions
Raj or Peter?	राज या पीटर?	raaj yaa piiṭar?	Form questions
Is it a cat?	क्या यह एक बिल्ली है?	kyaa yah ek billii hai?	Form questions
Do you want an apple or an orange?	तुझे सेब चाहिए या संतरा?	tujhe seb chaahie yaa santaraa?	Form questions
Why do you want this?	तुम्हें यह क्यों चाहिए?	tumhen yah kyon chaahie?	Form questions
Do they drink tea?	क्या वे चाय पीते हैं?	kyaa ve chaaya piite hain?	Form questions
Why are you walking?	तुम क्यों चल रहे हो ?	tum kyon chal rahe ho ?	Form questions
Are you fine?	क्या तू ठीक है?	kyaa tuu ṭhiik hai?	Form questions
Why are you going?	आप क्यों जा रहे हैं?	aap kyon jaa rahe hain?	Form questions
Does he eat eggs?	क्या वह अंडे खाता है?	kyaa vah anṛe khaataa hai?	Form questions
Why does she study?	वह क्यों पढ़ती है?	vah kyon paṛtii hai?	Form questions
Five rooms	पाँच कमरे	paanch kamare	Talk about your home
Roof	छत	chhat	Talk about your home
One car, two cars	एक गाड़ी, दो गाड़ियाँ	ek gaaṛii, do gaaṛiyaan	Talk about your home
Car	गाड़ी	gaaṛii	Talk about your home
Room	कमरा	kamaraa	Talk about your home
Bed	बिस्तर	bistar	Talk about your home
That child is sleeping on the new bed.	वह बच्चा नये बिस्तर पर सो रहा है।	vah bachchaa naye bistar par so rahaa hai.	Talk about your home
A cat is sitting on that chair.	उस कुर्सी पर बिल्ली बैठी है।	us kursii par billii baiṭhii hai.	Talk about your home
Does he sleep on the new bed or the old?	वह नये बिस्तर पर सोता है या पुराने?	vah naye bistar par sotaa hai yaa puraane?	Talk about your home
Is this our room?	क्या यह हमारा कमरा है?	kyaa yah hamaaraa kamaraa hai?	Talk about your home
Floor	ज़मीन	jmiin	Talk about your home
My grandfather is on the terrace.	मेरे दादा छत पर हैं।	mere daadaa chhat par hain.	Talk about your home
A window	एक खिड़की	ek khiṛkii	Talk about your home
The house's windows are closed.	घर की खिड़कियाँ बंद हैं।	ghar kii khiṛkiyaan band hain.	Talk about your home
The door is open.	दरवाज़ा खुला है।	daravaajaa khulaa hai.	Talk about your home
One door, two doors	एक दरवाज़ा, दो दरवाज़े	ek daravaajaa, do daravaaje	Talk about your home
I live in that house.	मैं उस घर में रहता हूँ।	main us ghar men rahataa huun.	Talk about your home
Speak something	कुछ बोलो	kuchh bolo	Tell others what to do
Give me my book.	मुझे मेरी किताब दो।	mujhe merii kitaab do.	Tell others what to do
You go and eat.	तुम जाओ और खाओ ।	tum jaao aur khaao .	Tell others what to do
Take this, your food.	यह लो, तुम्हारा खाना।	yah lo, tumhaaraa khaanaa.	Tell others what to do
Come and drink tea.	आओ और चाय पियो।	aao aur chaaya piyo.	Tell others what to do
Do your work.	अपना काम करो।	apanaa kaam karo.	Tell others what to do
Study from me.	मुझसे पढ़ो।	mujhase paṛo.	Tell others what to do
Play with me.	मेरे साथ खेलो।	mere saath khelo.	Tell others what to do
Raj, don't do that!	राज, वह मत करो!	raaj, vah mat karo!	Tell others what to do
Do not drink the tea.	चाय मत पियो।	chaaya mat piyo.	Tell others what to do
Come and eat.	आओ और खाओ ।	aao aur khaao .	Tell others what to do
There is pain in my teeth.	मेरे दाँतों में दर्द है ।	mere daanton men dard hai .	Talk about health
Aamir's teeth are beautiful.	आमिर के दाँत सुंदर हैं।	aamir ke daant sundar hain.	Talk about health
My hand is smaller than my foot.	मेरा हाथ मेरे पैर से छोटा है।	meraa haath mere pair se chhoṭaa hai.	Talk about health
Foot	पैर	pair	Talk about health
Mouth	मुँह	munh	Talk about health
Nose	नाक	naak	Talk about health
My mouth is paining.	मेरे मुँह में दर्द हो रहा है।	mere munh men dard ho rahaa hai.	Talk about health
Raj has two hands, two legs, one nose, and two ears.	राज के पास दो हाथ, दो पैर, एक नाक, और दो कान हैं।	raaj ke paas do haath, do pair, ek naak, aur do kaan hain.	Talk about health
Peter's foot is aching.	पीटर के पैर में दर्द हो रहा है।	piiṭar ke pair men dard ho rahaa hai.	Talk about health
My eyes are good.	मेरी आँखें अच्छी हैं ।	merii aankhen achchhii hain .	Talk about health
Are they healthy or sick?	वे स्वस्थ हैं या बीमार?	ve svasth hain yaa biimaar?	Talk about health
My grandfather is healthy today.	मेरे दादा आज स्वस्थ हैं ।	mere daadaa aaj svasth hain .	Talk about health
My fingers are small.	मेरी उँगलियाँ छोटी हैं ।	merii ungaliyaan chhoṭii hain .	Talk about health
My hands and legs are paining.	मेरे हाथों और पैरों में दर्द हो रहा है।	mere haathon aur pairon men dard ho rahaa hai.	Talk about health
There is pain in my ears.	मेरे कान में दर्द है ।	mere kaan men dard hai .	Talk about health
I have one nose and two ears.	मेरे पास एक नाक और दो कान हैं ।	mere paas ek naak aur do kaan hain .	Talk about health
You have two eyes.	आपके पास दो आँखें हैं।	aapake paas do aankhen hain.	Talk about health
The colour of my teeth is yellow.	मेरे दाँतों का रंग पीला है।	mere daanton kaa rang piilaa hai.	Talk about health
Close your mouth.	अपना मुँह बंद करो।	apanaa munh band karo.	Talk about health
My teeth are yellow.	मेरे दाँत पीले हैं।	mere daant piile hain.	Talk about health
There are two thumbs in my hand.	मेरे हाथ में दो अँगूठे हैं।	mere haath men do anguuṭhe hain.	Talk about health
There are five fingers in Raj's hands.	राज के हाथों में पाँच उँगलियाँ हैं।	raaj ke haathon men paanch ungaliyaan hain.	Talk about health
Aamir's thumb is red.	आमिर का अँगूठा लाल है।	aamir kaa anguuṭhaa laal hai.	Talk about health
This street is short.	यह गली छोटी है।	yah galii chhoṭii hai.	Describe places
Where do you live?	तुम कहाँ रहते हो?	tum kahaan rahate ho?	Describe places
Which city is there?	वहाँ कौनसा शहर है?	vahaan kaunasaa shahar hai?	Describe places
City	शहर	shahar	Describe places
My brother lives near my city.	मेरा भाई मेरे शहर के पास रहता है।	meraa bhaaii mere shahar ke paas rahataa hai.	Describe places
Is your house far from here?	क्या तुम्हारा घर यहाँ से दूर है?	kyaa tumhaaraa ghar yahaan se duur hai?	Describe places
Which village is there?	वहाँ कौनसा गाँव है?	vahaan kaunasaa gaanv hai?	Describe places
Peter lives near Julia's home.	पीटर जूलिया के घर के पास रहता है।	piiṭar juuliyaa ke ghar ke paas rahataa hai.	Describe places
Go inside or come outside.	अंदर जाओ या बाहर आओ।	andar jaao yaa baahar aao.	Describe places
Peter is in front of me.	मेरे आगे पीटर है ।	mere aage piiṭar hai .	Describe places
This place is in Delhi.	यह जगह दिल्ली में है ।	yah jagah dillii men hai .	Describe places
Which city is Delhi?	कौनसा शहर दिल्ली है?	kaunasaa shahar dillii hai?	Describe places
There are a lot of people in Delhi.	दिल्ली में बहुत लोग हैं।	dillii men bahut log hain.	Describe places
He is inside the house.	वह घर के अंदर है।	vah ghar ke andar hai.	Describe places
His street is here.	उसकी गली यहाँ है।	usakii galii yahaan hai.	Describe places
Delhi is far from here.	दिल्ली यहाँ से दूर है ।	dillii yahaan se duur hai .	Describe places
You are near Delhi.	तुम दिल्ली के पास हो।	tum dillii ke paas ho.	Describe places
Which animal is this?	यह कौनसा जानवर है?	yah kaunasaa jaanavar hai?	Describe places
half an hour	आधा घंटा	aadhaa ghanṭaa	Tell time
You always sleep.	तुम हमेशा सोते हो।	tum hameshaa sote ho.	Tell time
I do not have time.	मेरे पास समय नहीं है।	mere paas samaya nahiin hai.	Tell time
These people eat breakfast at quarter to one.	ये लोग पौने एक बजे नाश्ता करते हैं।	ye log paune ek baje naashtaa karate hain.	Tell time
Are you in your room at this time?	क्या तुम इस समय अपने कमरे में हो?	kyaa tum is samaya apane kamare men ho?	Tell time
He is at home at half past three.	वह साढ़े तीन बजे घर पर होता है।	vah saaṛe tiin baje ghar par hotaa hai.	Tell time
These children play at six in the evening.	ये बच्चे शाम को छह बजे खेलते हैं।	ye bachche shaam ko chhah baje khelate hain.	Tell time
We play at ten at night.	हम रात को दस बजे खेलते हैं।	ham raat ko das baje khelate hain.	Tell time
I wake up in the evening.	मैं शाम को जागती हूँ।	main shaam ko jaagatii huun.	Tell time
Raj does not eat in the afternoon.	राज दोपहर में नहीं खाता है।	raaj dopahar men nahiin khaataa hai.	Tell time
Quarter to five	पौने पाँच	paune paanch	Tell time
That boy is coming now.	वह लड़का अब आ रहा है।	vah laṛkaa ab aa rahaa hai.	Tell time
When does Neha play?	नेहा कब खेलती है?	nehaa kab khelatii hai?	Tell time
He eats at quarter to nine.	वह पौने नौ बजे खाता है।	vah paune nau baje khaataa hai.	Tell time
Letter	चिट्ठी	chiṭṭhii	Describe what people do
The teacher teaches us.	शिक्षक हमें पढ़ाता है ।	shikshak hamen paṛaataa hai .	Describe what people do
Peter sells newspapers.	पीटर अख़बार बेचता है ।	piiṭar akhbaar bechataa hai .	Describe what people do
She buys fruits from the shop.	वह दुकान से फल ख़रीदती है।	vah dukaan se phal khriidatii hai.	Describe what people do
Newspaper	अख़बार	akhbaar	Describe what people do
Teacher	शिक्षक	shikshak	Describe what people do
What do you sell?	तुम क्या बेचते हो?	tum kyaa bechate ho?	Describe what people do
Raj does not work hard.	राज मेहनत नहीं करता ।	raaj mehanat nahiin karataa .	Describe what people do
We write a poem.	हम एक कविता लिखते हैं।	ham ek kavitaa likhate hain.	Describe what people do
The answer to this question is easy.	इस सवाल का जवाब आसान है।	is savaal kaa javaab aasaan hai.	Describe what people do
Is this question not difficult?	क्या यह सवाल मुश्किल नहीं है?	kyaa yah savaal mushkil nahiin hai?	Describe what people do
She sells oranges.	वह संतरे बेचती है।	vah santare bechatii hai.	Describe what people do
Are my answers right or wrong?	क्या मेरे जवाब सही हैं या ग़लत?	kyaa mere javaab sahii hain yaa glat?	Describe what people do
This writer writes letter, story, and poem.	यह लेखक चिट्ठी, कहानी, और कविता लिखता है।	yah lekhak chiṭṭhii, kahaanii, aur kavitaa likhataa hai.	Describe what people do
What does that writer write?	वह लेखक क्या लिखता है?	vah lekhak kyaa likhataa hai?	Describe what people do
Ask easy questions.	आसान सवाल पूछो।	aasaan savaal puuchho.	Describe what people do
Julia writes a letter to Neha.	जूलिया नेहा को चिट्ठी लिखती है।	juuliyaa nehaa ko chiṭṭhii likhatii hai.	Describe what people do
We buy fruits.	हम फल ख़रीदते हैं।	ham phal khriidate hain.	Describe what people do
What does she ask?	वह क्या पूछती है ?	vah kyaa puuchhatii hai ?	Describe what people do
Teachers do not ask wrong questions.	शिक्षक ग़लत सवाल नहीं पूछते हैं।	shikshak glat savaal nahiin puuchhate hain.	Describe what people do
The writer writes a story.	लेखक कहानी लिखता है ।	lekhak kahaanii likhataa hai .	Describe what people do
Aamir's father is writing a book.	आमिर के पिता एक किताब लिख रहे हैं।	aamir ke pitaa ek kitaab likh rahe hain.	Make comparisons
He studies more than Aamir.	वह आमिर से ज़्यादा पढ़ता है।	vah aamir se jyaadaa paṛtaa hai.	Make comparisons
